'a'he'he 阿呵呵
'tian'shang'ren'jian'zao'kuang'huo 天上人间遭诳惑
'tian'shang'tian'xia'du'zun'di 天上天下独尊底
'tian'shang'yue'yuan 天上月圆
'tian'shui'xiang'lian'xi'qiu'rong'miao'miao 天水相连兮秋容渺渺
'tian'wang'hui'hui 天网恢恢
'tian'wang'hui'hui'wu'bi'chu 天网恢恢无避处
'tian'wu'ji'er'neng'kuan 天无际而能宽
'tian'wu'men 天无门
'tian'xia'cong'lin'jie'yu'fo 天下丛林皆浴佛
'tian'xia'qiu 天下秋
'tian'ya'hai'jiao'huo'chong'feng 天涯海角或重逢
'tian'zhong'ling'jie 天中令节
'tian'zhu'shan'qian'zhao'jiao'ge 天竺山前招角歌
'tie'bi'fu'tie'bi 铁壁复铁壁
'tie'bi'yin'shan'yi'zan'kai 铁壁银山一拶开
'tie'guo'ni'tuan 铁裹泥团
'tie'shu'hua'kai 铁树花开
'tie'shu'hua'kai'ban'ye'jian 铁树花开半夜间
'ting'bu'zu 听不足
'ting'de'fen'ming'jian'de'qin 听得分明见得亲
'ting'de'wen 听得闻
'ting'feng'ting'yu'mian 听风听雨眠
'ting'jiao'ren'dao'bu'feng'chun 听教人道不逢春
'ting'jiao'ren'dao'che'dian'kuang 听教人道掣颠狂
'ting'kai'jin'ju'su'gen'sheng 庭开金菊宿根生
'ting'wo'man'ni 听我谩你
'ting'ye'piao'piao 庭叶飘飘
'ting'yuan'wu'ren'zi'xi'yang 庭院无人自夕阳
'tong'feng'qian'li 同风千里
'tong'ling'bu'tong'xiao'tan'zhi 痛令不痛消弹指
'tong'qi'lian'zhi 同气连枝
'tong'qi'xiang'qiu 同气相求
'tong'shen'gong'ming 同身共命
'tong'shen'shi'bing'gu'zhan'pi 通身是病骨粘皮
'tong'sheng'xiang'ying 同声相应
'tong'xuan'feng'ding'qing'feng'qi 通玄峰顶清风起
'tong'yu'jin'lun'si'shi'nian 统御金轮四十年
'tong'ze'bian 通则变
'tou'bai'mei'xu'bai 头白眉须白
'tou'zhi'zhong'jin'er'guang'yu'fa'zhao 投之重津而光愈发赵
'tou'zi'bu'xiang'shi 投子不相识
'tu'shang'he'yuan'you'xing'ming 图上何缘有姓名
'tu'zhan'sheng'zhu'en 徒沾圣主恩
'tuan'fu'yi'ju'qing'xiao'shang 抟扶一举青霄上
'tuan'tuan'yuan'yuan 团团圆圆
'tui'jin'xian'tian'suan'bu'chu 推尽先天算不出
'tui'qiong'yao'xiang 推穷爻象
'tui'yi'bu 退一步
'tun'zhu'ai'hou'long 吞著碍喉咙
'tuo'jin'qing'chen'xiao'xi'zai 脱尽情尘消息在
'wan'an'kong'guo'cai'hua 卍庵空裹采花
'wan'ben'qing'song'shou'zi'zai 万本青松手自栽
'wan'die'yun'shan'yi'mo'guo 万叠云山一抹过
'wan'fa'ben'kong 万法本空
'wan'fa'ben'wu 万法本无
'wan'fa'bu'ran'er'ran 万法不然而然
'wan'fa'dou'lu'gui'yi'fa 万法都卢归一法
'wan'gu'chang'kong 万古长空
'wan'guo'chun'rong 万国春容
'wan'hua'qian'shou 万化潜收
'wan'hui'fa'sheng 万汇发生
'wan'ji'dun'ba'gui'lai 万机顿罢归来
'wan'ji'xiu'ba'sheng'xia'qu 万机休罢升遐去
'wan'jun'zhi'li 万钧之力
'wan'lai'chen'chen 万籁沉沉
'wan'li'wu'yun 万里无云
'wan'li'wu'yun'yi'pian'tian 万里无云一片天
'wan'li'yan'bo'jie'su'qiu 万里烟波接素秋
'wan'rou'cheng'chuang 剜肉成疮
'wan'shi'bi 万事毕
'wan'wu'xian'xin 万物咸新
'wan'wu'you'qian'liu 万物有迁流
'wang'dui'wang'dai 亡对亡待
'wang'guan'cha'qiu'song 王观察求颂
'wang'ji'chong'ying'yong'shi'miao 亡机冲应用时妙
'wang'wang'cheng'hu'qi'hou 往往瞠乎其后
'wang'wang'cuo'guo'zi'jia'wen'mi'tian'di 往往蹉过自家稳密田地
'wang'xin'qin 枉辛勤
'wang'ya'zan'zhi'xi'ge'shen'jing'hai 望涯赞之兮隔身鲸海
'wang'ya'zheng'que'bu 望崖争却步
'wei'ceng'jiao'gun'yi'xian'zhi 未曾交辊已先知
'wei'ceng'rong'yi'xia'jin'gou 未曾容易下金钩
'wei'ceng'you'chu'ru 未曾有出入
'wei'chang'yao'zhu'yi'li'mi 未尝咬著一粒米
'wei'de'shi'fu 惟德是辅
'wei'jing'sheng'suo'fu 为静胜所缚
'wei'ju'bi'qian'quan'cang'le 未举笔前全藏了
'wei'jun'jue'chu'yan'zhong'hua 为君抉出眼中花
'wei'lai'yi'wei'lai 未来亦未来
'wei'mian'bie'xing'yi'lu 未免别行一路
'wei'mian'di'tou'xiang'jiu 未免低头相就
'wei'mian'zi'qu'yi 未免自屈抑
'wei'ren'xu'wei'che 为人须为彻
'wei'ren'yi'yi'cong'tou'ju 为人一一从头举
'wei'shen'hun'ling'wang'na'fang 未审魂灵往那方
'wei'tan'hua'jiu'fei'shi'shu 为贪花酒废诗书
'wei'tuo'sheng'si 未脱生死
'wei'wang'bu'gu'yong'zhi'qian 危亡不雇勇直前
'wei'wei'huang'huang 炜炜煌煌
'wei'wei'tang'tang 巍巍堂堂
'wei'wei'yu'dian'yu'qiong'lou 巍巍玉殿与琼楼
'wei'wo'qie'lan 为我伽蓝
'wei'xian'jian'ze 惟嫌拣择
'wei'yan'mo'de'jin 威严莫得近
'wei'yan'qin'zao'qi 谓言侵早起
'wei'you'bao'feng'tian'ran'bu'guan 惟有宝峰恬然不管
'wei'you'qing'feng'ming'yue'zhi 惟有清风明月知
'wei'you'zi'gui'zhi'wo'yi 惟有子规知我意
'wei'zhang'liang'chen'zhi'fu'ti'mei'tu 为张良臣知府题梅图
'wen'cai'quan'zhang'zhu'zhang'tou 文彩全彰拄杖头
'wen'de'shang'fang'zhong'gu'dong 闻得上方钟皷动
'wen'ou'tang'shang'ban'zuo'ping'fen 问沤堂上半座平分
'wen'shi'wen 文是文
'wen'wu'you'wen 闻无有闻
'wen'xian'ying'you'shang'yin'ren 闻弦应有赏音人
'wen'xun'lin'cun'zhu'zhang'zi 问讯粼皴拄杖子
'wo'chang'yi'jian 我尝一见
'wo'dao'yi'qian'que'yi'ban 我道依前缺一半
'wo'gu'fang'xing 我顾方兴
'wo'guan'ru'huan'xiang 我观如幻相
'wo'qie'wen'ni 我且问你
'wo'shi'ceng'gong'yang 我适曾供养
'wo'shou'he'si'fo'shou 我手何似佛手
'wo'xian'yi'qi'qu'you'lai 我羡怡齐去又来
'wo'xin'si'qiu'yue 我心似秋月
'wo'yi'zao'wan'xing'jiao'qu 我亦早晚行脚去
'wo'yu'shi'jia'lao'zi 我与释迦老子
'wo'yu'zhe'lao'han 我与这老汉
'wo'zhen'wo'zan 我真我赞
'wo'zi'jia'chuang 卧自家床
'wu'ben'ju 无本据
'wu'bi'wu'ci 勿彼勿此
'wu'bian'yi 无变易
'wu'bin'zhu'ju'quan'ji'lu 无宾主句全机露
'wu'bu'qian 物不迁
'wu'bu'zu 无不足
'wu'chu'li'sheng'ya 无处立生涯
'wu'dao'cong'lai'mei'zheng'pian 吾道从来没正偏
'wu'de'ke'jing 无德可敬
'wu'di'lan'er'shou'shi'de 无底篮儿收拾得
'wu'duan'hua'bo'zu'shi'xin 无端花擘祖师心
'wu'duan'ping'di'sheng'ceng'ji 无端平地生层级
'wu'fei'huo'lu 无非活路
'wu'fei'tu'zou'zhou'hai'ye 乌飞兔走昼还夜
'wu'feng'xia 无缝罅
'wu'feng'ye'qi'pai'tian'bo 无风夜起拍天波
'wu'feng'yue'dao'lang'fan'kong 五峰趯倒浪翻空
'wu'gu'wu'jin 无古无今
'wu'guo'ji'cai 无过己财
'wu'jia'gui'wei'de 无家归未得
'wu'jian'wu'xie 无间无歇
'wu'jiao'shan'qin'po'ti 屋角山禽破啼
'wu'jiao'she'chu'you'jiao'she 无交涉处有交涉
'wu'jin'wu'qiong'qiong'jin'chu 无尽无穷穷尽处
'wu'ke'shang'liang 无可商量
'wu'kui'dang'nian'mian'bi'ren 无愧当年面壁人
'wu'luo'chu 无落处
'wu'mao'yao'zi'tie'tian'fei 无毛鹞子贴天飞
'wu'mi'chu 无觅处
'wu'nai'ni'sha'bo'bu'kai 无奈泥沙拨不开
'wu'nai'zhe'yuan'jia'zi 无奈这冤家子
'wu'neng'zhang'ai 无能障碍
'wu'ni'er'sun'hun'bu'cai 五逆儿孙浑不采
'wu'ni'ju'shi 无倪居士
'wu'qu'wu'lai 无去无来
'wu'ri'feng 五日风
'wu'ri'yi'qing 五日一晴
'wu'shan'chu'shui'xing'you'you 吴山楚水兴悠悠
'wu'shi'de'de'zi'jia'chun 无始的的自家春
'wu'shi'wu 武是武
'wu'shi'yu'ren 勿施於人
'wu'shuo'er'shuo 无说而说
'wu'tu'zhe'zhong 无途辙中
'wu'wai'jia'feng'chu'chu'qin 物外家风处处亲
'wu'wai'sheng'ya 物外生涯
'wu'wei'zhen'ren 无位真人
'wu'wei'zhen'ren'chi'gu'lv 无位真人赤骨律
'wu'wei'zhen'ren'qian'shi'jue 无位真人乾屎橛
'wu'wei'zhen'ren'shou'men'fu 无位真人手扪腹
'wu'wu'er'shi'wu 五五二十五
'wu'wu'wang'yuan 兀兀忘缘
'wu'wu'wu'shi'shu 五五午时书
'wu'wu'wu'si'guo'tu'shen 物物无私国土身
'wu'wu'yin'hu'er 吾无隐乎尔
'wu'xi'jian'di 无息肩地
'wu'xiang'bei 无向背
'wu'xiao'xi'chu'you'xiao'xi 无消息处有消息
'wu'xin'si'qiu'yue 吾心似秋月
'wu'xin'wu'sun'yi 吾心无损益
'wu'yan'ke'shu 无言可书
'wu'yan'yi'liao'xue 无言倚寥泬
'wu'ye'yi'hua 五叶一花
'wu'yi'bu'zong'men 无一补宗门
'wu'yi'ge'chu'tou'de 无一个出头得
'wu'yi'ke'shou 无衣可受
'wu'ying'zhang'zi'liang'ren'fu 无影杖子两人扶
'wu'you'bu'dian'deng 无油不点灯
'wu'you'wan'shu 物有万殊
'wu'yu'gui 舞雩归
'wu'yue'duan'wu'jie 五月端午节
'wu'zu'zan 五祖赞
'wu'zuo'er'zuo 无作而作
'xi'chen'yun'zhen'jiao'hua'yu 洗尘云阵浇华雨
'xi'chu'yang'guan'wu'gu'ren 西出阳关无故人
'xi'de'tong'ren'xiang'fang 喜得同人相访
'xi'dong'xi'xi 溪东溪西
'xi'hai'ning'long 戏海狞龙
'xi'jian'shan'tou'yue 细剪山头月
'xi'jian'ting'qian'yue 细剪亭前月
'xi'lv'mi'yuan 息虑迷源
'xi'ri'bu'sheng 昔日不生
'xi'shan'cao'mu'chun'ceng'yun'niang'yu'feng'yan 溪山草木春曾醖酿於风烟
'xi'shan'ge'yi 溪山各异
'xi'tian'ci'tu 西天此土
'xi'tian'hu'da'mo 西天胡达磨
'xi'tian'you'ren'bu'gan 西天有人不甘
'xi'wen'yin'you'bu'ken'shuo 细问因由不肯说
'xi'yin'wan'yue'wen'sheng'jue 犀因玩月纹生角
'xi'zai'mei'leng 喜在眉棱
'xia'bi'ze'chu 下笔则触
'xia'le'qiu 夏了秋
'xia'lu'ou'xiang'feng 狭路偶相逢
'xia'lv'zhong'cao'you'ru'ci 瞎驴种草有如此
'xia'mo'qiu'chu'wan'wan'qian 夏末秋初万万千
'xia'na'seng'zheng'yan 瞎衲僧正眼
'xia'que'ta'ren'yan 瞎却他人眼
'xia'que'yan 瞎却眼
'xia'xie'yu'long'yi'wang'shou 虾蟹鱼龙一网收
'xia'you'liang'feng'dong'you'xue 夏有凉风冬有雪
'xia'yuan'jie'e'shui'guan 下元解厄水官
'xian'ba'shou'teng'xi 闲把瘦藤戏
'xian'cheng'huo'ji 现成活计
'xian'chun'er'nian'zheng'yue'yi 咸淳二年正月一
'xian'fan'jie'tuo'tuo'chao'ke 掀翻解脱脱巢窠
'xian'sheng'de'dao'yi'ya'chi 先生得道医牙齿
'xian'sheng'shui'zhu'bu'ceng'zhi 先生睡著不曾知
'xian'shi'xian'you'yu 闲时闲有余
'xian'zai'an'zai'zai 现在安在哉
'xian'zi'zai'duan'yan'xiang 现自在端严相
'xian'zi'zan 蚬子赞
'xian'zuo'jie'shu'yong 闲坐解疏慵
'xiang'bei'heng'xie'you'xu'ban 向背横斜有许般
'xiang'bei'lei'jing'hua'ru'ya 象被雷惊花入牙
'xiang'bei'tan'nan'zuo'yang'kan 湘北潭南作样看
'xiang'dao'long'men'wu'su'ke 向道龙门无宿客
'xiang'du'tuo'wu'yi'chu 向独脱无依处
'xiang'feng'bian'tao'zhu'tou'chi 相逢便讨猪头吃
'xiang'feng'bu'yin'kong'gui'qu 相逢不饮空归去
'xiang'feng'duo'zui'ke 相逢多醉客
'xiang'fu'fu'gui'piao'ting'ji 香拂拂桂飘庭际
'xiang'gu'wei'wei'mo'bi'kong 象骨巍巍摩碧空
'xiang'guang'bu'di 祥光布地
'xiang'jian'bu'xu'chen 相见不须瞋
'xiang'shi'man'tian'xia 相识满天下
'xiang'shi'you'ru'bu'xiang'shi 相识犹如不相识
'xiang'wang'xing'chu'jue'hu'zong 象王行处绝狐踪
'xiang'yu'dui'hua'she'yi'zui 相与对花赊一醉
'xiao'bu'lu'chun 笑不露唇
'xiao'chun'cai'guo 小春才过
'xiao'dao'wei'shan'shui'gu'niu 笑倒沩山水牯牛
'xiao'dui'chun'feng'bai'cao'rou 笑对春风百草柔
'xiao'han'kou'jue 笑含口角
'xiao'lai'feng'qi'man'ting'xiang 晓来风起满庭香
'xiao'po'ta'ren'kou 笑破他人口
'xiao'qi'fu'hun 晓起复昏
'xiao'shi'chun'zhen'qing'zan'gong'fu'zhen'mi 小师淳缜请赞工夫缜密
'xiao'shi'chun'zhen'qing'zan'ju'zuo'hu'chuang 小师淳缜请赞据坐胡床
'xiao'shi'chun'zhen'qing'zan'tou'bai'mei'xu'bai 小师淳缜请赞头白眉须白
'xiao'ta'hong'zi'dou'fang'cong 笑他红紫斗芳丛
'xiao'xiao'qing'shan 小小青山
'xiao'xiao'shan'ju 小小山居
'xiao'yan'xi'yan 消焉息焉
'xie'fa'nan'fu 邪法难扶
'xin'ban'shan'wei'shen'shao'xiang'li'bai 新半山为甚烧香礼拜
'xin'de'ji 信得及
'xin'deng'bu'ye 心灯不夜
'xin'fei'qing'yuan 心非情缘
'xin'hu'zhi'bei'hong'lai'nuan 新糊纸被烘来暖
'xin'jiu'zhi'xiang'ji'bu'ke'de 新旧之相既不可得
'xin'luo'da'tie'huo'xing'fei 新罗打铁火星飞
'xin'man'xiao 新满孝
'xin'nian'ren'kan'jiu'nian'ren 新年人看旧年人
'xin'nian'tou'fo'fa 新年头佛法
'xin'qin'shou'shi'gui'lai 辛勤收拾归来
'xin'shou'nian'jiang'jing'cao'cha 信手拈将茎草插
'xin'tong'dao'tong 心同道同
'xin'wei'yuan'zheng'you'ze'yu 辛未元正有则语
'xin'xin'bu'chu'na'seng'shi 心心不触衲僧事
'xin'yin'he'zhao'zhao 心印何昭昭
'xin'zhi'zhuang'qiu'song 心知庄求颂
'xing'bang'xing'he 行棒行喝
'xing'dao'shui'qiong'shan'jin'chu 行到水穷山尽处
'xing'jia'tong'shen'bu'zi'zhi 腥稼通身不自知
'xing'qin 省亲
'xing'wei'ping'deng 性惟平等
'xing'wei'ren'jian'bao'bu'ping 行为人间报不平
'xing'yi'chan 行亦禅
'xing'yi'liao'dao 形仪潦倒
'xing'yuan'jing'er'miao'cun 性元静而妙存
'xing'zi'yi'tian'ming'lang 幸自一天明朗
'xiong'ji'bu'fen 凶吉不分
'xiong'zhong'di'shi'du'xing'xing 胸中底事独醒醒
'xiong'zhong'tiao'zhi 胸中条直
'xiong'zhong'wu'dian'mo 胸中无点墨
'xiu'bu'du 休卜度
'xiu'jian'xin'zhou'ge'lao'lu 羞见新州个老卢
'xiu'leng'chong'die'xi'yun'juan'shan'qu 秀棱重叠兮云卷山癯
'xiu'nie'mu 休捏目
'xiu'qu'xie'qu 休去歇去
'xiu'ya'qu'nian'peng'bin 休讶去年蓬鬓
'xiu'yin'chui'mao'bu'lu'feng 袖隐吹毛不露锋
'xiu'zhi'zhu 休指注
'xu'bin'xue'cheng'dui 须鬓雪成堆
'xu'dao'ling'guang'bu'ye'tai 须到灵光不夜台
'xu'er'tong 虚而通
'xu'er'ying 虚而应
'xu'kong'you'jin 虚空有尽
'xu'mi'hai'geng'dai'xu'mi 须弥还更戴须弥
'xu'mi'zuo'wu 须弥作舞
'xu'tang'he'shang'zan 虚堂和尚赞
'xu'wu'jiao'she 须无交涉
'xu'zhi'feng'dong'xin'yao'shu 须知风动心摇树
'xuan'sha'dao'di 玄沙道底
'xuan'ya'wan'ren 悬崖万仞
'xue'dou'biao'ti 雪窦标题
'xue'feng'gun'san'ge'mu'qiu 雪峰辊三个木毬
'xue'fo'zu'zhi'jia'chuan 学佛祖之家传
'xue'fu'qi'dian 雪覆其颠
'xue'ling'liu'nian'kong'bu'du 雪岭六年空卜度
'xue'zhan'ji'ya'ta'si'ji'fan 血战积压他死几番
'xun'chang'nen'mo'lao'po'xin 寻常恁麽老婆心
'xun'feng'nan'lai 薰风南来
'xun'lei'tao'bi'fen'fei'suo 迅雷陶壁奋飞梭
'xun'pu'qian'xun 迅瀑千寻
'xun'sheng'sui'suo'nian 寻声随所念
'ya'ai'zhong'qiu'yue 雅爱中秋月
'ya'shu'tian'feng 稏熟天风
'yan'dang'shan 雁荡山
'yan'fa'ling'ze'di'shui'bing'sheng 严法令则滴水冰生
'yan'gai'qian'kun 眼盖乾坤
'yan'hun'er'kui'jiao'wu'li 眼昏耳聩脚无力
'yan'kong'si'hai'bi'liao'tian 眼空四海鼻辽天
'yan'le'jia'bin 宴乐佳宾
'yan'li'fang'guang 眼里放光
'yan'pi'kai'wei'kai 眼皮开未开
'yan'qing'jin'jing'yi'hu'bing 眼青锦镜一壶冰
'yan'ren'ji'jun 验人机峻
'yan'ru'gao'kong 雁入高空
'yan'se'xin'xiang 颜色馨香
'yan'shu'shui'lao 岩树谁老
'yan'wu'jin 眼无筋
'yan'wu'wang'yan 言无妄言
'yan'yan'huo'ju 炎炎火聚
'yan'yu'yun'kai 滟澦云开
'yang'hai'cong'lin'zu'wei'xiu 殃害丛林卒未休
'yang'hua'bu'shi'tian'bian'xue 杨花不是天边雪
'yang'kuang'hun'ji'yang'tian'he 佯狂混迹养天和
'yang'qi'li'ji'peng 杨岐栗棘蓬
'yang'qi'lv'zi'san'zhi'jiao 杨岐驴子三只脚
'yang'qi'xiao'xi'wei'quan'hui 杨岐消息未全灰
'yang'sheng'di'yi'yao 阳生第一爻
'yang'zi'bu'ji'fu 养子不及父
'yao'bang'bian'bang 要棒便棒
'yao'feng'shun'ri'wan'si'nian 尧风舜日万斯年
'yao'fu'fa'yan'men'feng 要扶法眼门风
'yao'guai'zi'ran'xiao'mie 妖怪自然消灭
'yao'jin'ba'duan 要津把断
'yao'qu'cheng'jie'qian'nian'shi 要渠成结千年实
'yao'shan'zan 药山赞
'yao'xiang'fen'shi'que'jian'yin 爻象分时却建寅
'yao'xiang'zhu'fang'yang'chu'pa 要向诸方痒处爬
'yao'xie'jin'sao'chu 妖邪尽扫除
'yao'xu'xian'li'du'lou'qian 要须先沥髑髅乾
'yao'xun'xing'ying'shi'fen'nan 要寻形影十分难
'yao'zhang'bian'zhang 要掌便掌
'ye'an'zhou'ming 夜暗昼明
'ye'ban'chuan'yi'shi'zhuan'duo 夜半传衣事转多
'ye'bei'qu'nong'tuo'zhuan'lai 也被渠侬脱赚来
'ye'bei'yun'men'suo'fan'qian 也被云门索饭钱
'ye'chuan'zai'yue'diao'cang'lang 夜船载月钓沧浪
'ye'feng'chui'shang'fu'dou'feng'qian 业风吹上浮窦峰前
'ye'han'yue'liang 夜寒月亮
'ye'jing'wu'duo 野景无多
'ye'jing'xie'lian'shi'jian'bang 野径斜连石涧傍
'ye'lao'bu'zhi'wang'guo'hen 野老不知亡国恨
'ye'ling'ling'xi'shan'shou 叶零零兮山瘦
'ye'luo'gui'gen 叶落归根
'ye'niao'shan'hua'bie'shi'chun 野鸟山花别是春
'ye'shan'cha'dian'shi'chang'pu 野山茶点石菖蒲
'ye'shen'shui'gong'yu'jie'xing 夜深谁共御街行
'ye'shi'tu'lao 也是徒劳
'ye'si'diao'bang'da'yue 也似掉棒打月
'ye'sui'ye'shui'ru'han'tang 叶随野水入寒塘
'ye'wu'yi'ge'ju'yan 也无一个具眼
'ye'xing'yi'ren'tan'ming'yue 夜行一任贪明月
'ye'yun'zi'xian 野云自閒
'yi'bai'shi'cheng'hui'shou'chu 一百十城回首处
'yi'bai'xing'wei'chu'gou 以百姓为刍狗
'yi'ban'mi'mian 一般米面
'yi'bei'nan'shan'huan'que'yan'qing 已被南山换却眼晴
'yi'bei'si'hai 衣被四海
'yi'bu'kuo'yi'bu 一步阔一步
'yi'bu'que'yi'bu 一步却一步
'yi'bu'ye'xing'bu'de 一步也行不得
'yi'cang'jiao'zhi'cheng'zan'tan 一藏教只成赞叹
'yi'chen'qi 一尘起
'yi'cheng'duo'shi 已成多事
'yi'chun'tai'shang 宜春台上
'yi'cun'bi'tou 一寸笔头
'yi'da'yuan'jue 以大圆觉
'yi'da'zang'jiao 一大藏教
'yi'dao'yin'liang'zi'gu'lai 一道阴凉自古来
'yi'de'yi'shi 一得一失
'yi'de'yong'de 一得永得
'yi'deng'wu'xin'ci'di'jiao 一等无心次第浇
'yi'dian'bu'cha 一点不差
'yi'dian'bu'xiang'man 一点不相瞒
'yi'dian'huan'zhong'zhao'ji'wei 一点环中照极微
'yi'dian'miao'nan'ming 一点妙难名
'yi'dian'zhi'ling'zhu'zou'pan 一点至灵珠走盘
'yi'dong'er'dong 一冬二冬
'yi'duan'ji'guang'shu'dang'jia 一段几光属当家
'yi'dui'meng'chong'shi'seng 一队懞憧师僧
'yi'er'qian'shuo'gu 一二千硕谷
'yi'er'san'si'wu 一二三四五
'yi'er'san'si'wu'liu'qi 一二三四五六七
'yi'fa'bu'zhi'he'suo'gui 一法不知何所归
'yi'fei'mu'qian'fa 亦非目前法
'yi'fei'zu 亦非祖
'yi'fo'chu'shi 一佛出世
'yi'fo'wei'xin 以佛为心
'yi'ge'shi'yi'ge 一个是一个
'yi'hu'hou'ye'dang'chun'geng 宜乎后夜当春耕
'yi'hua'shi'qu'xue'he'mo'xie'cang'jing'qi'song 一化士取血和墨写藏经乞颂
'yi'hua'xian'tian 一画先天
'yi'hui'ling'shan'yan'wei'fen 一会灵山俨未分
'yi'ji'wan'chong'guan'suo'kai 一击万重关锁开
'yi'jian'bian'jian 一见便见
'yi'jian'hui'fei'zhu'zhang'tou 已见翚飞拄杖头
'yi'jiang'gong'cheng'wan'gu'ku 一将功成万骨枯
'yi'jiao'he'yi'dao'wu'geng 一觉和衣到五更
'yi'jiu'yi'jiu 依旧依旧
'yi'ju'ye'shuo'bu'de 一句也说不得
'yi'ke'di'yao 揖客低腰
'yi'li'sui'chu'bu'du 一例随处卜度
'yi'man'fa'hua'yi'dian'bu'de 亦瞒法华一点不得
'yi'mo'zhao'yuan'di 一默照源底
'yi'nan'jie 疑难解
'yi'nan'wei'jie 疑难未解
'yi'nian'fu'yi'nian 一年复一年
'yi'nian'shi'er'yue 一年十二月
'yi'nian'wan'nian 一念万年
'yi'peng'chun'xue'fan'xi'hu 一篷春雪泛西湖
'yi'peng'jun'gu 一棚俊鹘
'yi'pian'bing'hu'wu'ying'xiang 一片冰壶无影像
'yi'pian'liang'pian 一片两片
'yi'pian'liang'pian'zhu'zhang'tou 一片两片拄杖头
'yi'qi'jiu'shi'ri 一期九十日
'yi'qian'shi'que'liang'jing'mei 依前失却两茎眉
'yi'qie'chen'zhong'jian'mi'shen 一切尘中坚密身
'yi'qie'nan'she 一切难舍
'yi'qu'dong'lai'yi'shen'shen 一曲冬来意甚深
'yi'qu'li'sao'gui'qu'hou 一曲离骚归去后
'yi'ran'zong'mu 怡然纵目
'yi'ren'bu'nen'me 一人不恁么
'yi'ren'bu'nen'me'zhong'que'nen'me 一人不恁么中却恁么
'yi'ren'nen'me'zhong'bu'nen'me 一人恁么中不恁么
'yi'ren'po'sha'pen'lang'ji 一任破沙盆狼籍
'yi'ren'qiu'lai'you'qiu'qu 一任秋来又秋去
'yi'ri'fu'yi'ri 一日复一日
'yi'ri'you'yi'ri 一日又一日
'yi'sheng'he'li'han'song'ding 一声鹤唳寒松顶
'yi'sheng'liang'sheng'he'chu'di 一声两声何处笛
'yi'sheng'sheng'dao'bu'ru'gui 一声声道不如归
'yi'shi'fen'sui 一时粉碎
'yi'shi'fu'yu'qing'jiang'yu 一时付与清江郁
'yi'shi'lie'xia 一时列下
'yi'shi'xi'ren'fei'xi'ren 已是昔人非昔人
'yi'shi'zhe'qing'zan 益侍者请赞
'yi'shi'zheng'shang'wan 一时争赏玩
'yi'si'hao'ji'ban'ta'bu'de 一丝毫羁绊他不得
'yi'suo'bu'yu 已所不欲
'yi'suo'yi'wai'geng'wu'ta 一蓑衣外更无他
'yi'tang'feng'qiao'qiao 一堂风悄悄
'yi'tian'feng'yue'ren'xiao'sao 一天风月任萧骚
'yi'tian'ru'xi 一天如洗
'yi'tuan'tie 一团铁
'yi'wan'wu'wei'chu'gou 以万物为刍狗
'yi'wang'miao'jin 依亡妙尽
'yi'wei'dian'xiong'dian'lei 一味点胸点肋
'yi'wo'wei'yin'hu 以我为隐乎
'yi'wu'ji'mie'zhe 亦无寂灭者
'yi'xi'lin'ji'shou'qin'zai 依稀临济手亲栽
'yi'xi'xu 噫嚱吁
'yi'xia'tong'zhe'bu'tong'tu 一夏同辙不同途
'yi'xia'yao'hu'lu 遗下药胡芦
'yi'xiang'wu'xiang'shi'ye'wu 一相无相识也无
'yi'xiao'chu'men'shan'shui'lv 一笑出门山水绿
'yi'xie'chu'xie 以楔出楔
'yi'xin'he'you 一心何有
'yi'yang'gu'you'jin 一样古犹今
'yi'yang'lai'fu 一阳来复
'yi'ye'lei'hong'yu'pang'pei 一夜雷轰雨滂霈
'yi'ye'luo 一叶落
'yi'yi'cheng'jiu'chu 一一成就处
'yi'yi'jie'cheng'jiu 一一皆成就
'yi'yin'xuan'yan 一音宣演
'yi'yu'zhi'lao'wu'fen'fu 衣盂至老无分付
'yi'yue'fu'yi'yue 一月复一月
'yi'yue'long'men'kan'hua'shen 一跃龙门看化身
'yi'yue'long'men'shi'jiu'huai 一跃龙门适旧怀
'yi'zai'xing'xi'bu'zai'pan 意在星兮不在盘
'yi'zhao'feng'yue 一朝风月
'yi'zhi'heng'chu'zhuan'xiao'e 一枝横出转譊讹
'yi'zhi'shen'bei'ding'ji'xiong 一掷神杯定吉凶
'yi'zhou'ma'fu'zhang 益州马腹胀
'yi'zhu'gao'yi'zhu 一著高一著
'yi'zhu'tian'tong 一住天童
'yi'zhu'ya'yi'zhu 一著亚一著
'yin'bu'zu 吟不足
'yin'cang'jing 印藏经
'yin'gang'geng'geng'fan'zhong'liu 银缸耿耿泛中流
'yin'hen'nan'wang 饮恨难忘
'yin'ren'yi'bai 殷人以柏
'yin'shen'tai'shou'sheng 吟身太瘦生
'yin'shen'wo'jie'dang'xiong 因甚握节当胸
'ying'han'bai'chuan 影含百川
'ying'se'ying'sheng 应色应声
'ying'ye'xiang'zhi'zai'zhu 应也像之在珠
'ying'ying'er'chun 英英而春
'ying'zhi'ye'bu'jian'lai'duan 迎之也不见来端
'yong'bu'zu 咏不足
'yong'chu'quan'wu'shen'lou 用处全无渗漏
'yong'de'qin 用得亲
'yong'er'gui 咏而归
'yong'huo'ren'dao 用活人刀
'yong'jin'zi'ji'xin 用尽自己心
'yong'she'lin'mai 用舍临埋
'yong'xing'she'cang 用行舍藏
