'jin'gen'bu'rang'shi'kan'bei 金根不让实堪悲
'jin'gu'cun'wang'ji'yi'zhong 今古存亡记忆中
'jin'ren'yan'jing'zheng 今人言竞争
'jin'ri'er'gui'lai 今日儿归来
'jin'ri'gong'nong'qi'fen'qi 今日工农齐奋起
'jin'ri'long'jiang'zuo'chu'qiu 今日龙江作楚囚
'jin'shi'sheng'zhong'yun'su'xin 金石声中蕴素馨
'jin'xiu'hun'si'yan'xian'ni 进修浑似燕衔泥
'jin'ye'jiu'nian'le 今夜旧年了
'jin'zhao'ying'hao'chun 今朝迎好春
'jing'cheng'tuan'jie'fu'qiang'rong 精诚团结伏强戎
'jing'gao'lei'zhou'ge'min'zhong 敬告雷州各民众
'jing'qi'shen'zhou'su'sha'qiu 惊起神州肃杀秋
'jing'qie'gong'ming'sheng'xi'shi 竟窃功名胜昔时
'jing'si'wo'he'qiu 竟死我何求
'jing'wen'po'si'zhong 惊闻破寺钟
'jing'xing'xian'feng 警醒先锋
'jiu'bie'chong'feng'jin'you'bie 久别重逢今又别
'jiu'chu'lei'min'shui'huo'zhong 救出雷民水火中
'jiu'guo'tu'qiang'yi'pian'xin 救国图强一片心
'jiu'zhou'fang'qin'hu 九州方擒虎
'ju'an'gu'pan'shang'kan'kua 据鞍顾盼尚堪夸
'ju'bei'gong'qing'zhu 举杯共庆祝
'ju'ci'xiao'yu'nei 局此小宇内
'ju'guo'tong'chou'wan'tai'hang 举国同仇挽太行
'ju'jiu'zhu'kang'qiang 举酒祝康强
'ju'shi'fu'he'zhe 举世附和者
