'an'di'tian'jia'bei'cun 岸堤田家北村
'yin'hang'cheng'dui'hui'piao'tie'xian'piao'mian'mian'zhi 银行承兑汇票贴现票面面值
'yin'hang'cheng'dui'hui'piao'zai'ku'hu 银行承兑汇票在库户
'yin'hang'cheng'dui'hui'piao'zai'yong'hu 银行承兑汇票在用户
'yin'hang'cheng'dui'hui'piao'zhuan'tie'xian'dian'kuan 银行承兑汇票转贴现垫款
'yin'hang'cheng'dui'ye'wu'shou'ru 银行承兑业务收入
'yin'hang'hui'piao'duo'yu'kuan'ying'fu'gua'zhang'hu 银行汇票多余款应付挂账户
'yin'hang'hui'piao'tui'kuan'zhuan'hu 银行汇票退款专户
'yin'hang'hui'piao'ye'wu'shou'ru 银行汇票业务收入
'yin'hang'ka'ye'wu'shou'xu'fei'zhi'chu'hu 银行卡业务手续费支出户
'yin'hang'ka'yu'yue'ka'zai'ku'hu 银行卡预约卡在库户
'yin'hang'ka'yu'yue'ka'zai'yong'hu 银行卡预约卡在用户
'yin'hang'ye'cun'fang'kuan'xiang 银行业存放款项
'yin'hang'ye'cun'fang'kuan'xiang'li'xi'zhi'chu 银行业存放款项利息支出
'yin'jian'ka'pian'zai'ku'hu 印鉴卡片在库户
'yin'jian'ka'pian'zai'yong'hu 印鉴卡片在用户
'yin'lian'ka'qi'ta'ying'fu'kuan'xiang 银联卡其他应付款项
'yin'lian'ka'qi'ta'ying'shou'kuan 银联卡其他应收款
'yin'lian'pin'pai'fu'wu'fei'zhi'chu 银联品牌服务费支出
'yin'lian'zi'jin'wang'lai 银联资金往来
'yin'que'dong'dun'cun 银雀东墩村
'yin'que'shan'lu'hao'dong'bei'qu'hao'lou 银雀山路号东北区号楼
'yin'tuan'dai'kuan'li'xi'shou'ru 银团贷款利息收入
'ying'fu'ba'nian'qi'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付八年期定期储蓄存款利息户
'ying'fu'chai'ru'zi'jin'li'xi 应付拆入资金利息
'ying'fu'da'e'qing'suan'shou'xu'fei 应付大额清算手续费
'ying'fu'dai'li'zhong'jian'ye'wu'shou'xu'fei 应付代理中间业务手续费
'ying'fu'dan'wei'huo'qi'cun'kuan'li'xi'hu 应付单位活期存款利息户
'ying'fu'dan'wei'tong'zhi'cun'kuan'li'xi'hu 应付单位通知存款利息户
'ying'fu'ding'qi'bao'zheng'jin'cun'kuan'li'xi'hu'shou'dong 应付定期保证金存款利息户手动
'ying'fu'ding'qi'bao'zheng'jin'cun'kuan'li'xi'hu'zi'dong 应付定期保证金存款利息户自动
'ying'fu'er'nian'dan'wei'ding'qi'cun'kuan'li'xi'hu 应付二年单位定期存款利息户
'ying'fu'er'nian'qi'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付二年期定期储蓄存款利息户
'ying'fu'fei'yin'hang'tong'ye'cun'fang'kuan'xiang'li'xi'hu 应付非银行同业存放款项利息户
'ying'fu'ge'ren'huo'qi'cun'kuan'li'xi'hu 应付个人活期存款利息户
'ying'fu'ge'ren'tong'zhi'cun'kuan'li'xi'hu 应付个人通知存款利息户
'ying'fu'gong'ying'shang'kuan'xiang 应付供应商款项
'ying'fu'huo'qi'bao'zheng'jin'cun'kuan'li'xi'hu'shou'dong 应付活期保证金存款利息户手动
'ying'fu'huo'qi'bao'zheng'jin'cun'kuan'li'xi'hu'zi'dong 应付活期保证金存款利息户自动
'ying'fu'lian'she'cun'fang'kuan'xiang'li'xi'hu 应付联社存放款项利息户
'ying'fu'liu'ge'yue'dan'wei'ding'qi'cun'kuan'li'xi'hu 应付六个月单位定期存款利息户
'ying'fu'liu'ge'yue'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付六个月定期储蓄存款利息户
'ying'fu'mai'chu'hui'gou'jin'rong'zi'chan'li'xi 应付卖出回购金融资产利息
'ying'fu'nong'xin'yin'hui'hua'fei'yong'hu 应付农信银汇划费用户
'ying'fu'san'ge'yue'dan'wei'ding'qi'cun'kuan'li'xi'hu 应付三个月单位定期存款利息户
'ying'fu'san'ge'yue'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付三个月定期储蓄存款利息户
'ying'fu'san'nian'dan'wei'ding'qi'cun'kuan'li'xi'hu 应付三年单位定期存款利息户
'ying'fu'san'nian'qi'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付三年期定期储蓄存款利息户
'ying'fu'wang'shang'yin'hang'zhi'fu'qing'suan'shou'xu'fei 应付网上银行支付清算手续费
'ying'fu'wu'nian'dan'wei'ding'qi'cun'kuan'li'xi'hu 应付五年单位定期存款利息户
'ying'fu'wu'nian'qi'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付五年期定期储蓄存款利息户
'ying'fu'xian'jin'gu'li 应付现金股利
'ying'fu'xiao'e'qing'suan'shou'xu'fei 应付小额清算手续费
'ying'fu'yi'nian'dan'wei'ding'qi'cun'kuan'li'xi'hu 应付一年单位定期存款利息户
'ying'fu'yi'nian'qi'ding'qi'chu'xu'cun'kuan'li'xi'hu 应付一年期定期储蓄存款利息户
'ying'fu'yin'hang'ye'tong'ye'cun'fang'kuan'xiang'li'xi'hu 应付银行业同业存放款项利息户
'ying'fu'zhai'quan'li'xi'tiao'zheng 应付债券利息调整
'ying'fu'zhai'quan'mian'zhi 应付债券面值
'ying'fu'zhai'quan'ying'ji'li'xi 应付债券应计利息
'ying'fu'zhong'yang'yin'hang'jie'kuan'li'xi 应付中央银行借款利息
'ying'ji'shou'bao'han'dian'kuan'li'xi 应计收保函垫款利息
'ying'ji'shou'cheng'qu'ju'min'dai'kuan'li'xi 应计收城区居民贷款利息
'ying'ji'shou'chu'kou'tie'xian'li'xi'shou'ru 应计收出口贴现利息收入
'ying'ji'shou'da'bao'dai'kuan'li'xi'shou'ru 应计收打包贷款利息收入
'ying'ji'shou'dan'wei'xin'yong'ka'tou'zhi'li'xi 应计收单位信用卡透支利息
'ying'ji'shou'di'chan'kai'fa'dai'kuan'li'xi 应计收地产开发贷款利息
'ying'ji'shou'fang'chan'kai'fa'dai'kuan'li'xi 应计收房产开发贷款利息
'ying'ji'shou'fei'ying'ji'dai'kuan'ji'dian'kuan'li'xi 应计收非应计贷款及垫款利息
'ying'ji'shou'fu'fei'ting'li'xi'shou'ru 应计收福费廷利息收入
'ying'ji'shou'fu'wu'ye'dai'kuan'li'xi 应计收服务业贷款利息
'ying'ji'shou'ge'ren'xin'yong'ka'tou'zhi'li'xi 应计收个人信用卡透支利息
'ying'ji'shou'ge'ti'gong'shang'hu'dai'kuan'li'xi 应计收个体工商户贷款利息
'ying'ji'shou'gong'gong'qi'shi'ye'dai'kuan'li'xi 应计收公共企事业贷款利息
'ying'ji'shou'gong'ye'dai'kuan'li'xi 应计收工业贷款利息
'ying'ji'shou'guo'ji'bao'li'rong'zi'li'xi'shou'ru 应计收国际保理融资利息收入
'ying'ji'shou'guo'nei'bao'li'rong'zi'li'xi'shou'ru 应计收国内保理融资利息收入
'ying'ji'shou'jian'zhu'ye'dai'kuan'li'xi 应计收建筑业贷款利息
'ying'ji'shou'nong'hu'dai'kuan'li'xi 应计收农户贷款利息
'ying'ji'shou'nong'ye'dai'kuan'li'xi 应计收农业贷款利息
'ying'ji'shou'qi'che'xiao'fei'dai'kuan'li'xi 应计收汽车消费贷款利息
'ying'ji'shou'qi'ta'dan'wei'dai'kuan'li'xi 应计收其他单位贷款利息
'ying'ji'shou'qi'ta'ge'ren'dai'kuan'li'xi 应计收其他个人贷款利息
'ying'ji'shou'shang'ye'dai'kuan'li'xi 应计收商业贷款利息
'ying'ji'shou'shang'ye'zhu'xue'dai'kuan'li'xi 应计收商业助学贷款利息
'ying'ji'shou'she'tuan'dai'kuan'li'xi 应计收社团贷款利息
'ying'ji'shou'ti'huo'dan'bao'dian'kuan'li'xi 应计收提货担保垫款利息
'ying'ji'shou'tie'xi'zhu'xue'dai'kuan'li'xi 应计收贴息助学贷款利息
'ying'ji'shou'tie'xian'dian'kuan'li'xi 应计收贴现垫款利息
'ying'ji'shou'xin'yong'zheng'dian'kuan'li'xi 应计收信用证垫款利息
'ying'ji'shou'yin'hang'cheng'dui'hui'piao'dian'kuan'li'xi 应计收银行承兑汇票垫款利息
'ying'ji'shou'yin'tuan'dai'kuan'li'xi 应计收银团贷款利息
'ying'ji'shou'zhu'fang'xiao'fei'dai'kuan'li'xi 应计收住房消费贷款利息
'ying'ji'shou'zhuan'tie'xian'dian'kuan'li'xi 应计收转贴现垫款利息
'ying'jiao'che'chuan'shi'yong'shui 应交车船使用税
'ying'jiao'cheng'shi'wei'hu'jian'she'fei'hu 应交城市维护建设费户
'ying'jiao'dai'kou'ge'ren'gu'jin'fen'hong'suo'de'shui 应缴代扣个人股金分红所得税
'ying'jiao'dai'kou'li'xi'shui 应缴代扣利息税
'ying'jiao'dai'kou'qi'ta'ge'ren'suo'de'shui 应缴代扣其他个人所得税
'ying'jiao'dai'kou'qi'ta'shui'fei 应缴代扣其他税费
'ying'jiao'di'fang'jiao'yu'fei'fu'jia'hu 应交地方教育费附加户
'ying'jiao'fang'chan'shui 应交房产税
'ying'jiao'jiao'yu'fei'fu'jia'hu 应交教育费附加户
'ying'jiao'qi'ta'shui'fei 应交其他税费
'ying'jiao'qi'ye'suo'de'shui 应交企业所得税
'ying'jiao'tu'di'shi'yong'shui 应交土地使用税
'ying'jiao'tu'di'zeng'zhi'shui 应交土地增值税
'ying'jiao'yin'hua'shui 应交印花税
'ying'jiao'ying'ye'shui'hu 应交营业税户
'ying'jie'fu'cun'liang'yin'hang'cheng'dui'hui'piao'kuan 应解付存量银行承兑汇票款
'ying'jie'fu'hui'ru'dai'cha'da'e'zhi'fu'kuan'xiang'hu 应解付汇入待查大额支付款项户
'ying'jie'fu'hui'ru'dai'cha'hang'nei'hui'hua'kuan'xiang'hu 应解付汇入待查行内汇划款项户
'ying'jie'fu'hui'ru'dai'cha'nong'xin'yin'kuan'xiang'hu 应解付汇入待查农信银款项户
'ying'jie'fu'hui'ru'dai'cha'xiao'e'zhi'fu'kuan'xiang'hu 应解付汇入待查小额支付款项户
'ying'jie'fu'qing'suan'gua'zhang'kuan'xiang 应解付清算挂账款项
'ying'jie'fu'yin'hang'cheng'dui'hui'piao'kuan 应解付银行承兑汇票款
'ying'shou'chai'chu'zi'jin'li'xi 应收拆出资金利息
'ying'shou'cun'chu'bao'zheng'jin'li'xi 应收存出保证金利息
'ying'shou'cun'fang'jing'nei'tong'ye'kuan'xiang'li'xi 应收存放境内同业款项利息
'ying'shou'cun'fang'lian'she'kuan'xiang'li'xi 应收存放联社款项利息
'ying'shou'cun'fang'zhong'yang'yin'hang'kuan'xiang'li'xi 应收存放中央银行款项利息
'ying'shou'da'e'zhi'fu'hui'hua'fei'yong'hu 应收大额支付汇划费用户
'ying'shou'dian'kuan'li'xi 应收垫款利息
'ying'shou'gong'ye'qi'ye'dai'kuan'li'xi 应收工业企业贷款利息
'ying'shou'gu'li 应收股利
'ying'shou'gu'li'huai'zhang'zhun'bei 应收股利坏账准备
'ying'shou'guo'jia'zhai'quan'li'xi 应收国家债券利息
'ying'shou'jin'rong'zhai'quan'li'xi 应收金融债券利息
'ying'shou'kuan'xiang'li'cai'tou'zi'cheng'ben 应收款项理财投资成本
'ying'shou'kuan'xiang'li'cai'tou'zi'li'xi'tiao'zheng 应收款项理财投资利息调整
'ying'shou'kuan'xiang'li'cai'tou'zi'ying'ji'li'xi 应收款项理财投资应计利息
'ying'shou'kuan'xiang'tou'zi'jian'zhi'zhun'bei 应收款项投资减值准备
'ying'shou'li'xi'huai'zhang'zhun'bei 应收利息坏账准备
'ying'shou'mai'ru'fan'shou'jin'rong'zi'chan'li'xi 应收买入返售金融资产利息
'ying'shou'mao'yi'rong'zi'li'xi 应收贸易融资利息
'ying'shou'nong'xin'yin'hui'hua'fei'yong'hu 应收农信银汇划费用户
'ying'shou'qi'ta'jin'rong'ji'gou'wang'lai'li'xi 应收其他金融机构往来利息
'ying'shou'qi'ta'zhai'quan'li'xi 应收其他债券利息
'ying'shou'qi'ye'zhai'quan'li'xi 应收企业债券利息
'ying'shou'wei'shou'chai'chu'zi'jin'li'xi 应收未收拆出资金利息
'ying'shou'wei'shou'cheng'qu'ju'min'dai'kuan'li'xi 应收未收城区居民贷款利息
'ying'shou'wei'shou'dian'kuan'li'xi 应收未收垫款利息
'ying'shou'wei'shou'fang'di'chan'kai'fa'dai'kuan'li'xi 应收未收房地产开发贷款利息
'ying'shou'wei'shou'fu'wu'ye'dai'kuan'li'xi 应收未收服务业贷款利息
'ying'shou'wei'shou'ge'ti'gong'shang'hu'dai'kuan'li'xi 应收未收个体工商户贷款利息
'ying'shou'wei'shou'gong'gong'qi'shi'ye'dai'kuan'li'xi 应收未收公共企事业贷款利息
'ying'shou'wei'shou'gong'ye'dai'kuan'li'xi 应收未收工业贷款利息
'ying'shou'wei'shou'jian'zhu'ye'dai'kuan'li'xi 应收未收建筑业贷款利息
'ying'shou'wei'shou'mao'yi'rong'chu'zi'jin'li'xi 应收未收贸易融出资金利息
'ying'shou'wei'shou'nong'hu'dai'kuan'li'xi 应收未收农户贷款利息
'ying'shou'wei'shou'nong'ye'dai'kuan'li'xi 应收未收农业贷款利息
'ying'shou'wei'shou'qi'che'dai'kuan'li'xi 应收未收汽车贷款利息
'ying'shou'wei'shou'qi'ta'ge'ren'dai'kuan'li'xi 应收未收其他个人贷款利息
'ying'shou'wei'shou'qi'ta'jin'rong'ji'gou'wang'lai'li'xi 应收未收其他金融机构往来利息
'ying'shou'wei'shou'qi'ta'qi'ye'dai'kuan'li'xi 应收未收其他企业贷款利息
'ying'shou'wei'shou'shang'ye'dai'kuan'li'xi 应收未收商业贷款利息
'ying'shou'wei'shou'shang'ye'zhu'xue'dai'kuan'li'xi 应收未收商业助学贷款利息
'ying'shou'wei'shou'she'tuan'dai'kuan'li'xi 应收未收社团贷款利息
'ying'shou'wei'shou'tie'xi'zhu'xue'dai'kuan'li'xi 应收未收贴息助学贷款利息
'ying'shou'wei'shou'xin'yong'ka'tou'zhi'li'xi 应收未收信用卡透支利息
'ying'shou'wei'shou'yin'tuan'dai'kuan'li'xi 应收未收银团贷款利息
'ying'shou'wei'shou'zhu'fang'dai'kuan'li'xi 应收未收住房贷款利息
'ying'shou'xia'gang'shi'ye'ren'yuan'dai'kuan'li'xi 应收下岗失业人员贷款利息
'ying'shou'xiao'e'zhi'fu'hui'hua'fei'yong'hu 应收小额支付汇划费用户
'ying'shou'zhu'xue'dai'kuan'zheng'fu'tie'xi 应收助学贷款政府贴息
'ying'shou'zhuan'xiang'yang'hang'piao'ju'li'xi 应收专项央行票据利息
'ying'ye'shui 营业税
'ying'yu'gong'ji'bu'kui 盈余公积补亏
'ying'yun'zi'jin'hui'dui'sun'yi 营运资金汇兑损益
'yong'an'cai'xian'jie'yi'xian'zai'ku'hu 永安财险借意险在库户
'yong'an'cai'xian'jie'yi'xian'zai'yong'hu 永安财险借意险在用户
'you'dian'fei'shou'ru 邮电费收入
'you'jia'dan'zheng'zai'tu'hu 有价单证在途户
'you'mian'zhi'piao'yang'hu 有面值票样户
'yu'he'guo'jia'lou 于河郭家楼
'yu'he'xiang'lai'zhang 于河乡莱章
'yu'he'zhen'guo'jia'lou 于河镇郭家楼
'yu'he'zhen'guo'jia'lou'cun 于河镇郭家楼村
'yu'he'zhen'guo'jia'lou'cun'hao 于河镇郭家楼村号
'yu'he'zhen'lai'zhang'cun 于河镇莱章村
'yu'he'zhen'lai'zhang'cun'hao 于河镇莱章村号
'yuan'dong'tou'tao'ke'zi'cun 院东头桃棵子村
'yuan'dong'tou'xiang 院东头乡
'yuan'dong'tou'xiang'shi'jia'ya'cun 院东头乡师家崖村
'yuan'dong'tou'xiang'xia'yan'yu'cun 院东头乡下岩峪村
'yuan'dong'tou'xiang'zheng'fu 院东头乡政府
'yuan'qi'qi'fu'kuan'xiang 远期期付款项
'yuan'qi'qi'shou'kuan'xiang 远期期收款项
'yun'men'shan'jie'dao'ban'shi'chu'qi'li'he'zhong'jie 云门山街道办事处七里河中街
'zai'ku'gui'jin'shu 在库贵金属
'zai'tie'xian'kuan'xiang'li'xi'zhi'chu 再贴现款项利息支出
'zai'tu'gui'jin'shu 在途贵金属
'zan'shou'yuan'gong'kao'he'kuan'xiang 暂收员工考核款项
'zao'gou'tou'zhen'zheng'zhuang'cun 枣沟头镇郑庄村
'zao'zhuang'shi'shi'zhong'qu'wen'hua'jia'yuan'lou'dan'yuan'shi 枣庄市市中区文化嘉苑楼单元室
'zhai'quan 债券
'zhang'feng'cao'hai'hao 章缝曹海号
'zhang'feng'fu'qian'lu'hao 章缝府前路号
'zhang'feng'nan'wang'tang'cun'hao 章缝南王堂村号
'zhang'feng'nan'wang'tang'hao 章缝南王堂号
'zhang'feng'qian'cang'ji'hao 章缝前仓集号
'zhang'feng'qian'gu'zhuang'hao 章缝前谷庄号
'zhang'feng'yang'xing'zhuang'cun'hao 章缝杨邢庄村号
'zhang'feng'zhong'ji'hao 章缝重集号
'zhang'hu'guan'li'fei'shou'ru 账户管理费收入
'zhang'huan'cun 张环村
'zhang'wang'da'zong'cun'hao 张汪大宗村号
'zhang'xin'cun'hao 张辛村号
'zhao'gan'zhu 赵竿竹
'zhao'gao'yu'cun 赵高峪村
'zhao'hu'zhen'fang'jia'zhuang'cun'hao 赵虎镇方家庄村号
'zhao'yuan'qi'shan'jia'jia'gou 招远齐山贾家沟
'zheng'ti'shou'gou'dan'wei'bu'liang'dai'kuan 整体收购单位不良贷款
'zheng'ti'shou'gou'ge'ren'bu'liang'dai'kuan 整体收购个人不良贷款
'zheng'ying'xiang'wang'tun'cun 郑营乡王屯村
'zheng'zhuang'xiang'gao'di'quan'hao 郑庄乡高堤圈号
'zhi'fu'mi'ma'qi'zai'ku'hu 支付密码器在库户
'zhi'fu'mi'ma'qi'zai'yong'hu 支付密码器在用户
'zhi'huan'di'zhai'fang'wu'ji'jian'zhu'wu 置换抵债房屋及建筑物
'zhi'huan'di'zhai'tu'di'shi'yong'quan 置换抵债土地使用权
'zhi'piao'ye'wu'shou'ru 支票业务收入
'zhi'ya'shi'mai'chu'hui'gou'piao'ju'kuan 质押式卖出回购票据款
'zhi'ya'shi'mai'chu'hui'gou'piao'ju'li'xi'zhi'chu 质押式卖出回购票据利息支出
'zhi'ya'shi'mai'ru'fan'shou'piao'ju 质押式买入返售票据
'zhi'ya'shi'mai'ru'fan'shou'piao'ju'li'xi'shou'ru 质押式买入返售票据利息收入
'zhi'ya'shi'mai'ru'fan'shou'zhai'quan 质押式买入返售债券
'zhi'ya'you'jia'wu'pin 质押有价物品
'zhi'ye'xue'yuan 职业学院
'zhong'bai'yi'lou 中百一楼
'zhong'guo'ren'shou'fen'hong'xian'bao'dan'zai'ku'hu 中国人寿分红险保单在库户
'zhong'guo'ren'shou'fen'hong'xian'bao'dan'zai'yong'hu 中国人寿分红险保单在用户
'zhong'hang'su'she 中行宿舍
'zhong'yao'kong'bai'ping'zheng'zai'tu'hu 重要空白凭证在途户
'zhong'yi'yao'da'xue 中医药大学
'zhu'fang'xiao'fei'dai'kuan'li'xi'shou'ru 住房消费贷款利息收入
'zhu'jia'zhuang'jian'zhu'gong'si 朱家庄建筑公司
'zhu'liang'zhen'gao'zhuang'cun'dong'sheng'jie 朱良镇高庄村东升街
'zhu'wei'cun 朱位村
'zhuan'tie'xian'fu'zhai'li'xi'tiao'zheng 转贴现负债利息调整
'zhuan'tie'xian'fu'zhai'mian'zhi 转贴现负债面值
'zhuan'tie'xian'kuan'xiang'li'xi'zhi'chu 转贴现款项利息支出
'zhuan'tie'xian'tie'ru'piao'ju'dian'kuan'li'xi'shou'ru 转贴现贴入票据垫款利息收入
'zhuan'tie'xian'tie'ru'piao'ju'li'xi'shou'ru 转贴现贴入票据利息收入
'zhuan'tie'xian'tie'ru'shang'ye'cheng'dui'hui'piao'hu 转贴现贴入商业承兑汇票户
'zhuan'tie'xian'tie'ru'shang'ye'cheng'dui'hui'piao'mian'zhi 转贴现贴入商业承兑汇票面值
'zhuan'tie'xian'tie'ru'yin'hang'cheng'dui'hui'piao'hu 转贴现贴入银行承兑汇票户
'zhuan'tie'xian'tie'ru'yin'hang'cheng'dui'hui'piao'mian'zhi 转贴现贴入银行承兑汇票面值
'zhuan'xiang'yang'hang'piao'ju'hu 专项央行票据户
'zhuan'xiang'yang'hang'piao'ju'li'xi'shou'ru 专项央行票据利息收入
'zhuan'zhang'zhi'piao'qing'fen'ji'zai'ku'hu 转账支票清分机在库户
'zhuan'zhang'zhi'piao'qing'fen'ji'zai'yong'hu 转账支票清分机在用户
'zhuan'zhang'zhi'piao'zai'ku'hu 转账支票在库户
'zhuan'zhang'zhi'piao'zai'yong'hu 转账支票在用户
'zhuan'zuo'gu'ben'gu'li 转作股本股利
'zhun'bei'jin'cun'kuan'li'xi'shou'ru 准备金存款利息收入
'zi'ben'yi'jia 资本溢价
'zi'bo'zhang'dian 淄博张店
'zi'chan'chong'gu'zeng'zhi 资产重估增值
'zi'chan'zhi'huan'dan'wei'bu'liang'dai'kuan 资产置换单位不良贷款
'zi'chan'zhi'huan'ge'ren'bu'liang'dai'kuan 资产置换个人不良贷款
'zi'ying'jie'shou'hui 自营结售汇
'zi'zhu'she'bei'xian'jin'hu 自助设备现金户
'zi'zhu'she'bei'xian'jin'zai'tu'hu 自助设备现金在途户
'zou'ping'jiao'tong'ju 邹平交通局
'zu'lin'shou'ru 租赁收入
'zuo'ying'du'zhuang 左营杜庄
'zuo'ying'shi'miao 左营石庙
'zuo'ying'xiang'ge'zhuang'cun'hao 左营乡葛庄村号
'zuo'ying'xiang'ma'zhuang'cun'hao 左营乡马庄村号
'zuo'ying'xiang'shi'miao'cun'hao 左营乡石庙村号
'zuo'ying'xiang'shi'miao'hao 左营乡石庙号
