'a'mu'chang'ren'ce 阿母常仁恻
'wang'wei'shuang'huang'hu'ge'song'bie 王维双黄鹄歌送别
'wang'wei'song'jin'ma'ai'ci 王维宋进马哀词
'wang'wei'song'shen 王维送神
'wang'wei'song'you'ren'gui'shan'ge 王维送友人归山歌
'wang'wei'ying'shen 王维迎神
'wang'wei'zeng'xu'zhong'shu 王维赠徐中书
'wang'wo'da'lu 望我大陆
'wang'wo'gu'xiang 望我故乡
'wang'wu'jing'he'xia'shan'ge 王无竞和下山歌
'wang'xiang'chu'wu'ben'feng'yi 罔象出舞奔冯夷
'wang'xin'he'si 王心何思
'wang'yu'ru'kou'cha'chi'ya 枉于汝口插齿牙
'wang'zhi'shi'ran 王至是然
'wei'bi'fang'xi'yuan'yang'jing 惟彼方兮远阳精
'wei'bi'fu'tian 惟彼甫田
'wei'ci'shi'wo'suo'dang'wei 谓此是我所当为
'wei'di'tian'shang'wu'shi'chui 未抵天上五十炊
'wei'ding'zhi'ye 威定之耶
'wei'fu'qiang'shi'xi 为复强视息
'wei'jun'zhi'dao 为君之道
'wei'ke'zhen'shi 危柯振石
'wei'kou'zhong'zhi'wu 为口中之物
'wei'kun'wei'qian 为髡为钳
'wei'lai'zhe'shi'ji 维来者是冀
'wei'ren'jun'zhe 为人君者
'wei'shang'di'shi'shuo 惟上帝是愬
'wei'shang'di'shi'zhe 惟上帝是谪
'wei'shen'yi'zong'heng 委身以纵横
'wei'tian'zhi'yan'jing 为天之眼睛
'wei'tu'chi'zha'sha 尾秃翅觰沙
'wei'wo'bo'ming'xi'mei'rong'lu 唯我薄命兮没戎虏
'wei'wo'chou'ku'xi'bu'zan'yi 唯我愁苦兮不暂移
'wei'wo'ge'yang'liu'zhi 为我歌杨柳枝
'wei'wo'hui'pei'qin'xi'rong 为我回辔擒西戎
'wei'wo'pang'huang 慰我彷徨
'wei'wu'bao'zhi 为吾宝之
'wei'xin'si'shi'huan 惟馨祀是患
'wei'ying'wu'e'lv'hua'ge 韦应物萼绿华歌
'wei'yu'you'mu 惟予有慕
'wei'zang'wei'huo 为臧为获
'wei'zhe'bu'dai'qi'de'ye 位者不逮其德耶
'wei'zhi'shuai'cui 未至衰摧
'wei'zuo'xian'er'ruo'yi 味作咸而若一
'wen'fang'shu'fu'shi'bai'liao 文房书府师百僚
'wen'fu'zhi'cheng'bi'gan'xi'dian 闻夫至诚必感兮巅
'wen'gua'he'xi'si'shen 文寡和兮思深
'wen'hong'yan'zhi'nan'xiang 闻鸿雁之南翔
'wen'ji'jue'yu 文姬绝域
'wen'meng'shi'ying'rui'qi 蚊虻虱蝇蚋蜞
'wen'mu'yu'he'zhi 问母欲何之
'wen'shi'li'xi'yi'yi 问诗礼兮已矣
'wen'tian'lai'zhi'cao'cao 闻天籁之嘈嘈
'wen'wang'zhang'zai'yuan'zhong'lie 文王长在苑中猎
'wen'zhi'chang'huan'xi 闻之常欢喜
'wen'zi'sheng'er'xi'nong'zuo'ye 文字生而羲农作耶
'wo'ai'lian'gu'gu'yi'qing 我爱炼骨骨已清
'wo'bei'jian'si'xi'shao'shi 我悲减思兮少时
'wo'cao'bu'huo'ru 我曹不活汝
'wo'du'kai'ran'er'hao'ge 我独慨然而浩歌
'wo'fei'shi'sheng'er'wu'si 我非食生而恶死
'wo'feng'xiao'xi'zuo'xia'dan 卧风霄兮坐霞旦
'wo'gu'zhuo'bi'jin'lei 我姑酌彼金罍
'wo'gu'zi'si 我姑自思
'wo'hang'guai'ci'an'gan'chu 我行怪此安敢出
'wo'hang'zi'bei 我行自北
'wo'hang'zi'dong 我行自东
'wo'hang'zi'nan 我行自南
'wo'hang'zi'xi 我行自西
'wo'ju'tian'xi 我居阗兮
'wo'ke'nai'he'xi'bei'yi'qing 我可奈何兮杯一倾
'wo'ke'nai'he'xi'bei'zai'qing 我可奈何兮杯再倾
'wo'ke'nai'he'xi'shi'ji'hun 我可奈何兮时既昏
'wo'lao'ri'lai 我老日来
'wo'le'duo'zhi 我乐多之
'wo'li'qi'du 我罹其毒
'wo'nai'he'xi'bei'fu'qing 我奈何兮杯复倾
'wo'qing'song'fu 我请颂夫
'wo'qing'song'yan 我请颂焉
'wo'qing'song'yi 我请颂矣
'wo'shang'wei'cheng'ren 我尚未成人
'wo'shen'fei'wo'you'ye 我身非我有也
'wo'sheng'he'wei'zai'qiong'gu 我生何为在穷谷
'wo'sheng'tuo'zi'yi'wei'ming 我生托子以为命
'wo'sheng'zhi'chu'shang'wu'wei 我生之初尚无为
'wo'sheng'zhi'hou'han'zuo'shuai 我生之后汉祚衰
'wo'shi'wo'gui 我筮我龟
'wo'tu'kuang'xi 我土旷兮
'wo'wei'he'gong'xi'he'bu'ren 我谓河公兮何不仁
'wo'xin'chou'xi'yi'fu'ran 我心愁兮亦复然
'wo'xin'you'jie 我心忧嗟
'wo'yan'er'xi'bu'ren'ting 我掩耳兮不忍听
'wo'yi'bu'bai'xi 我衣不白兮
'wo'you'jing'jing 我忧京京
'wo'yu'er'gui'zui'xiang'qu'lai 我与尔归醉乡去来
'wo'yu'er'xi'ge'yi'fang 我与儿兮各一方
'wo'yuan'jiu'zhou'si'hai'zhi 我愿九州四海纸
'wo'yuan'zhong'nan'tai'hua'bian'wei'jin 我愿终南太华变为金
'wo'yun'tai'yin'tai'yang'ji 斡运太阴太阳机
'wu'bai'ye'cha'ge'ge'kou'tu'huo 五百夜叉个个口吐火
'wu'dao'he'you'xing 吾道何由行
'wu'fei'er'shi 毋废尔事
'wu'gan'wo'si'shi'yu'bei 无感我思使余悲
'wu'gao'chao'er'feng'qu'xi 污高巢而凤去兮
'wu'gui'qie'jian 乌龟怯奸
'wu'guo'yi 吾过矣
'wu'hou'jian'zhi'bu'wei'bao 吾后见之不为宝
'wu'hu 呜呼
'wu'hu'bu'de'zhen'zai'qing 呜呼不得真宰情
'wu'hu'er'ge'xi'ge'shi'fang 呜呼二歌兮歌始放
'wu'hu'fang'wei'bu'fu'jian 呜呼房魏不复见
'wu'hu'gu'ren'yi'fen'tu 呜呼古人已粪土
'wu'hu'jian'bu'wu'you'cheng 呜呼健步无由骋
'wu'hu'lao'wang 於戏劳王
'wu'hu'liu'ge'xi'ge'si'chi 呜呼六歌兮歌思迟
'wu'hu'nai'ru'mu'zi'he 呜呼奈汝母子何
'wu'hu'qi'ge'xi'qiao'zhong'qu 呜呼七歌兮悄终曲
'wu'hu'san'ge'xi'ge'san'fa 呜呼三歌兮歌三发
'wu'hu'shen'jun'da'yao'cheng 呜呼沈君大药成
'wu'hu'si'ge'xi'ge'si'zou 呜呼四歌兮歌四奏
'wu'hu'wan'wu'fen'yi'sheng 呜呼万物纷已生
'wu'hu'wang'wang 呜呼亡王
'wu'hu'wei'you'bai'se'mao 呜呼为有白色毛
'wu'hu'wu'ge'xi'ge'zheng'chang 呜呼五歌兮歌正长
'wu'hu'yi'ge'xi'ge'yi'ai 呜呼一歌兮歌已哀
'wu'hu'yuan'yao'shun'zhi'ri'ye 呜呼远尧舜之日耶
'wu'hu'zhu'ren 呜呼主人
'wu'hui'sheng'ru 吾悔生汝
'wu'huo'yao'zhi 无或夭枝
'wu'ji'sui'zuo 吾疾虽作
'wu'jian'wo'song'bai'xi 无剪我松柏兮
'wu'nai'jia'ren'xi 无奈佳人兮
'wu'nai'sai'yuan 无乃塞源
'wu'pai'ling'ling'xi'yi'mi'shen 五拍泠泠兮意弥深
'wu'qi'wu'qing 吾岂无情
'wu'qiu'chang'sheng'sang'jue'sheng 无求长生丧厥生
'wu'ren'jiu'hu 无人救乎
'wu'ri'wu'ye'xi'bu'si'wo'xiang'tu 无日无夜兮不思我乡土
'wu'shan'ping'xi'ju'ye'yi 吾山平兮钜野溢
'wu'sheng'chai'yu'li 勿生豺与狸
'wu'sheng'gou'wen'han'du'duan'ren'chang 勿生钩吻含毒断人肠
'wu'sheng'she'yu'wei 勿生蛇与蜲
'wu'sheng'xiao'yu'chi 勿生枭与鸱
'wu'sheng'yu'yu'qi 勿生蝓与蜞
'wu'sheng'zhi'ji'qin'li'shang'ren'ji 勿生枳棘覃利伤人迹
'wu'shi'lv'yu'xi'zeng'jun'you 勿使履阈兮增君忧
'wu'shi'yin'xie'fa'xie'sheng'chuang'yi 勿使淫邪发泄生疮痍
'wu'shi'zai'ren'huan'zuo'chu'yao'guai'qi 勿使在人寰做出妖怪奇
'wu'si'bu'wei 无思不为
'wu'ti'ke'shang'tian 无梯可上天
'wu'tu'dun'yu'xi 於菟蹲于西
'wu'wei'wu'shi 无违无失
'wu'wen'tian'zi'zhi'ma'zou'qian'li 吾闻天子之马走千里
'wu'wu'xi'da 物无细大
'wu'xin'wei'zhu'ni'xian'hua 无心为主拟衔花
'wu'xing'ru'zhu 五星如珠
'wu'yi'bu'zhi'qi'ling'guai'ru'ci 吾亦不知其灵怪如此
'wu'ying'yue 吾应曰
'wu'yu'yin'yin 雾雨淫淫
'wu'yu'zhi'wang'gu'zhi'bu'ke'zhui 吾欲知往古之不可追
'wu'yue'yan'guang'zhu'huo'sheng 五月炎光朱火盛
'wu'yue'yi'wang'xi'si'ma'gui 吴越一王兮驷马归
'wu'ze'tian'gui'he'er'shou 武则天归和二首
'wu'ze'tian'zhi'he 武则天致和
'xi'dao'li'yi'zun'fu'shi 悉蹈礼义尊父师
'xi'de'sheng'huan'xi'feng'sheng'jun 喜得生还兮逢圣君
'xi'de'yu'zi'chang'ye'yu 喜得与子长夜语
'xi'he'wei'wo'hui'chun'zi 溪壑为我回春姿
'xi'hu'luan'wang 嘻乎乱王
'xi'hu'wang'jia 嘻乎王家
'xi'jiang'bo'mo'mo 西江波漠漠
'xi'jun'shi'zu'shen'zheng'su 喜君士卒甚整肃
'xi'jun'zhi'zhuang'ye 昔君之壮也
'xi'niao'xi'zheng'fan 夕鸟兮争返
'xi'qi'shu'ye 系其术耶
'xi'ren'li'bai 西人利百
'xi'shan'mi'ci'feng'huang'ke 西山秘此凤凰柯
'xi'shi'fu'xin 西施负薪
'xi'xi'yang'chun 熙熙阳春
'xi'yan'jue'tu'qiu'qiong'wei 西岩掘土求琼葳
'xi'yang'xi'xi'hong 夕阳兮赩红
'xi'you'wang'mu'xi'dai'sheng'xue'ju 西有王母兮戴胜穴居
'xi'zai'xi'he 昔在羲和
'xi'zhao'huang'di'shi 檄召皇地示
'xia'kong'meng'er'wu'niao 下空蒙而无鸟
'xia'long'pu'du'lei'yu'duo 夏龙痡毒雷雨多
'xia'mo'mo'xi'wu'yin 下漠漠兮无垠
'xia'ri'yu'zheng 夏日郁蒸
'xia'song'shan'xi'duo'suo'si 下嵩山兮多所思
'xia'xiang'san'wu 遐想三五
'xia'zai'shang'gu 遐哉上古
'xian'bei'chu'hen'xi'he'shi'ping 衔悲畜恨兮何时平
'xian'bei'shu'shui 衔杯漱水
'xian'chun'jin'xue'bai'niao'ti 先春尽学百鸟啼
'xian'du'chi'cheng'san'shi'liu'dong'zhu 仙都赤城三十六洞主
'xian'hai'zhu'xian'liang 先害诸贤良
'xian'ji'lao'xi'tan'lu 嫌既老兮贪禄
'xian'jue'zhi'xia 衔橛之下
'xian'lai'gong'wo'shuo'zhen'yi 闲来共我说真意
'xian'lao'qie'hou 藓老且厚
'xian'qu'liang'yan'yi 先去两眼翳
'xian'rong'jiao'jiao'xi'za'yao'pei 仙容矫矫兮杂瑶珮
'xian'sheng'wei'shang'xi 贤圣为上兮
'xian'yuan'zhi'yi 闲院支颐
'xian'zhu'cu'xi 弦柱促兮
'xiang'bi'hai'er'xiao'ao'xi 向笔海而啸傲兮
'xiang'ji'shi 翔吉时
'xiang'qi'chi 翔魌魑
'xiang'qi'xi'yun'yu 缃旗兮芸舆
'xiang'qi'xia'xie 香气遐些
'xiang'si'ren'jian'wu'shi'nian 相思人间五十年
'xiang'song'gao'li'bie 相送告离别
'xiang'tang'yu'zhi'wei'bai'xi 相唐虞之维百兮
'xiang'wu'qing'zhi'bai'ri 向无情之白日
'xiang'xiang'wen'ci'xi'yu'sheng'yan 想像闻此兮欲升烟
'xiang'yan'yin'yun'xi'zhu'yan'chi 香焰氤氲兮烛焰赤
'xiang'you'yu'xi'si'wu'qiong 响有余兮思无穷
'xiao'dong'ting'xi'qian'fang'zhou 小洞庭兮牵方舟
'xiao'gu'he'xie 箫鼓和些
'xiao'he'kua'er'que'qin 笑何夸而却秦
'xiao'liao'tian'qing'er'mie'yun 萧寥天清而灭云
'xiao'lie'yi'si'guan'cheng'gong 校猎亦似观成功
'xiao'xin'he'mao'he'ren'jue 枭心鹤貌何人觉
'xie'bao'shu'yu'yao'se 挟宝书与瑶瑟
'xie'hou'jiao'shi'yuan 邂逅徼时愿
'xie'jia'ren'xi'bu'chi'chi 携佳人兮步迟迟
'xie'lou'zao'hua'wei 泄漏造化微
'xie'shou'xiang'jiang 携手相将
'xie'wo'xin'xi'deng'bi'gao 写我心兮登彼高
'xie'yao'fang'xi'diao'chu'shui 撷瑶芳兮吊楚水
'xin'bu'shu'xi'wei'ren'zui 薪不属兮卫人罪
'xin'cui'xue'xia 心摧血下
'xin'da'jue'xi'si'fu'sheng 心怛绝兮死复生
'xin'fen'yuan'xi'wu'ren'zhi 心愤怨兮无人知
'xin'fu'ren'zhi'hao'dao 信夫人之好道
'xin'ge'shan'wu 新歌善舞
'xin'gui'nue'ye 辛癸虐耶
'xin'mao'luan'xi'zhong'hun 心瞀乱兮重昏
'xin'pei'hui'xi'bu'neng'hai 心裴回兮不能还
'xin'si'jun'xi'jun'bu'jiang 心思君兮君不将
'xin'tian'di'zhi'zhu'xu'xi 信天地之潴蓄兮
'xin'tu'si'xi'xiong'fen'ying 心吐思兮胸愤盈
'xin'xuan'xuan'xi'chang'ru'ji 心悬悬兮长如饥
'xin'you'huai'xi'chou'zhuan'shen 心有怀兮愁转深
'xing'bu'sui'chi'xing'ling'e 行步虽迟性灵恶
'xing'fu'xing'xi'tian'lu'chang 行复行兮天路长
'xing'jing'shui'hu'wei'du'liu 行经水浒为毒流
'xing'kui 形躨
'xing'lu'yi'wu'ye 行路亦呜咽
'xing'ming'xue'hua'fei'huang'ai 性命血化飞黄埃
'xing'neng'ting'yu'wu'shi 幸能听于吾师
'xing'ru'sa'sha'chu 星如撒沙出
'xing'tai'xiu'shi 星台秀士
'xing'ti'zuo'bi'yi'zhu'yan 行提坐臂怡朱颜
'xing'wei'ji'xiang'ji'zhi'jiang'si 幸未及项籍之将死
'xing'xing'zhen'zhong'ji'si'yan 行行珍重寄斯言
'xing'you'fu'che 幸有辅车
'xing'zhan'peng'lai'zui'gao'ge 行占蓬莱最高阁
'xiong'ming'yi'sheng'ci'gu'yi 雄鸣一声雌鼓翼
'xiong'yi'sheng'ming'hui 胸臆生明翚
'xiong'yi'wei'cui'bai 胸臆为摧败
'xiong'zhe'wei'yuan'ci'zhe'yang 雄者为鸳雌者鸯
'xiu'li'nan'ji'bei'ji'shu 修理南极北极枢
'xiu'tu'yao'qi'wei'ban 修途杳其未半
'xiu'yu'ma'yu'you'gu 休余马于幽谷
'xu'fang'leng'er'ji'mo 虚房冷而寂寞
'xu'xian'fei'ni'xiao'shan'pian 徐贤妃拟小山篇
'xu'yan'bo'huai'ting'yin 徐彦伯淮亭吟
'xu'yi'san'ge'xi'ge'min'zhu 吁噫三歌兮歌民主
'xu'yi'si'ge'xi'ge'sheng'li 吁噫四歌兮歌胜利
'xu'yi'yi'ge'xi'ge'huang'he 吁噫一歌兮歌黄河
'xu'yi'zai'ge'xi'ge'fan'gong 吁噫再歌兮歌反攻
'xu'yu'bian'mie 须臾变灭
'xu'zhan'shen'lin'wei'wu'yao 许占神林为物妖
'xuan'fang'sai'xi'wan'fu'lai 宣防塞兮万福来
'xuan'hua'mu'xi'tian'li'chang 玄化穆兮天历长
'xuan'huang'gui'xi'zhang'sheng'shen 宣皇规兮彰圣神
'xuan'yuan'lv'pi 玄猿绿罴
'xuan'yuan'zhan'ye 轩辕战耶
'xuan'yun'he'xi'yi'yue'xing 玄云合兮翳月星
'xue'gang'chi'jian 血刚齿坚
'xue'mao'hao'bai'hong'zui'yin 雪毛皓白红觜殷
'xue'shuai'chi'han 血衰齿寒
'xue'wu'sheng'xi'shu'ke 学无生兮庶可
'xun'dong'dao 循东道
'xun'huan'zhao'zhu'san'bai'liu'shi'gu'jie 循环照烛三百六十骨节
'xun'si'she'li'xi'duo'jian'zu 寻思涉历兮多艰阻
'xun'yao'yin'xi'zhong'tang 蕈妖淫兮中溏
'xun'you'ju'xi'yue'yan'e 寻幽居兮越巘崿
'ya'jiao'he'ya'ya 牙角何呀呀
'yan'bei'gui'xi'wei'de'han'yin 雁北归兮为得汉音
'yan'chen'bi'ye'xi'hu'lu'sheng 烟尘蔽野兮胡虏盛
'yan'cui'dai'xi'dun'jin'ji 掩翠黛兮顿金羁
'yan'de'bu'xiang'si 焉得不相思
'yan'de'yu'yi'xi'jiang'ru'gui 焉得羽翼兮将汝归
'yan'dou'li'xi'zhuang'yao'ting 言兜离兮状窈停
'yan'fei'gao'xi'miao'nan'xun 雁飞高兮邈难寻
'yan'he'ji'zhi 言何极之
'yan'hong'dong'hua'shi'liang'zhe 岩訇洞砉石梁折
'yan'jing'guang'huo'ru'liu'li 眼睛光活如琉璃
'yan'mian'liu'xi'chui'yi'shang 俨冕旒兮垂衣裳
'yan'na'qi'yang 言纳其阳
'yan'nan'zheng'xi'yu'ji'bian'sheng 雁南征兮欲寄边声
'yan'neng'bu'gui'fu'bu'qu 焉能不贵复不去
'yan'ruo'shou'ming'jin 奄若寿命尽
'yan'shang'chi 晻上驰
'yan'shi'bao'ye 炎始暴耶
'yan'tai'zi'xi'quan'zhu'jie 研苔滋兮泉珠洁
'yan'tao'li'zhi'bin'fen 厌桃李之缤纷
'yan'ting'chao'long 蝘蜓嘲龙
'yan'xuan'yun'dong'xi'nie'yan'tu 言旋云洞兮蹑烟涂
'yan'yan'yu'chao 燕燕于巢
'yan'yan'ze'yi 炎炎则移
'yan'yi'yi'xi'ying'huang'huang 滟熠熠兮濙湟湟
'yan'yong'yu'yin 言用于阴
'yan'you'li'zi'chan'huo 焉有力恣谄惑
'yan'you'zi'yan'shuang'tong'fang 眼有紫焰双瞳方
'yan'yun'yu'zhi'ming'ming 奄云雨之冥冥
'yan'zhong'bu'jian'xi'wu'er 眼中不见兮吾儿
'yang'bian'qu'long'fu'hai'ruo 扬鞭驱龙扶海若
'yang'bu'lou'ri 仰不漏日
'yang'dan'tian 养丹田
'yang'er'hai 仰而咍
'yang'jin'guang 扬金光
'yang'liu'zhi'zai'bai'chang'gui'er'zhi'ci 杨柳枝再拜长跪而致辞
'yang'qian'di'zhong 阳潜地中
'yang'shi'huang'tian'bai'ri'su 仰视皇天白日速
'yang'su'tian'zhi'bu'ren'xi 仰诉天之不仁兮
'yang'tian'da'hu'xi 仰天大呼兮
'yang'wu'liao'luan'xi'wu'shang'qi 阳乌撩乱兮屋上栖
'yang'ya'tao'jun 坱轧陶钧
'yang'yan'shao'yin'you'xiang'jue 阳焰烧阴幽响绝
'yang'you'yan'er'liu'pan 仰幽岩而流盼
'yang'zai'diao'long'jie'ren'yu 养在雕笼解人语
'yang'zai'yin'si'tie'zha'nei 养在银丝铁栅内
'yao'cheng'qie'zhe'yi'wan'yao 药成且辄一丸药
'yao'dang'yi'ting'ren 要当以亭刃
'yao'hu'da'shui'jin'shi'ri 尧呼大水浸十日
'yao'ji'xie'chong'ci'jin'wu 妖姬谢宠辞金屋
'yao'ming'xian'hui'xi'zhen'yan'ting 窅冥仙会兮枕烟庭
'yao'mu'mu'ye 尧穆穆耶
'yao'nian'bai'yu 尧年百馀
'yao'nian'zhi'xue'du'guan'shan 尧年值雪度关山
'yao'shu'duo'nian'yu'he'sheng 妖鼠多年羽翮生
'yao'wei'tong'ke'ceng'gong'you 鹞为同科曾共游
'yao'xiao'diao'chi'jun'wu'pi 鹞小雕痴俊无匹
'yao'yao'nan'guo'duo'jing'qi 杳杳南国多旌旗
'yao'ye 尧耶
'ye'ban'jiao'ji'ye'ban'kai 夜半醮祭夜半开
'ye'bu'de'qi'chao'bu'shi 夜不得栖朝不食
'ye'cha'shou'men'zhou'bu'qi 夜叉守门昼不启
'ye'cha'xi'huan'dong'guan'suo 夜叉喜欢动关锁
'ye'chang'shui'zu'shen'lv'qing 夜长睡足神虑清
'ye'fa'meng'shi'san'qian'ren 夜发猛士三千人
'ye'jian'long'shui'xi'sheng'wu'ye 夜间陇水兮声呜咽
'ye'jiu'pian'zhou'fan'wu'hu 业就扁舟泛五湖
'ye'ku'ci'shu 叶枯辞树
'ye'mang'mang 野茫茫
'ye'qian'kun'zhi'de 叶乾坤之德
'ye'ying'he'de'tian'shang'xing 也应合得天上行
'ye'you'chang'xi'jin'men'jiong 夜悠长兮禁门扃
'ye'ze'bei'yin'zuo 夜则悲吟坐
'yi'bei'ji'jin'tun'yuan'jing 一杯既进吞元精
'yi'bei'you'jin'xi'liao'chu'kuo 一杯又进兮聊处廓
'yi'bu'dai'ye 益不逮耶
'yi'bu'yi'yuan'xi'zu'nan'yi 一步一远兮足难移
'yi'chan'yi'guan 一廛亦官
'yi'dan'shuang'luo 一旦双落
'yi'dan'shuang'qu 一旦双去
'yi'de'cheng'xuan'miu'cheng'he 亦得乘轩谬称鹤
'yi'fu'xin'zui'wan'wu'bian 一夫心醉万物变
'yi'gui'cheng'bai'gou 一鬼乘白狗
'yi'gui'cheng'bai'shi 一鬼乘白豕
'yi'gui'shu'yu'nan'zhou 忆桂树于南州
'yi'hai'shang'zhi'bai'ou 忆海上之白鸥
'yi'huang'zhi'sheng'xi 猗皇至圣兮
'yi'jiu'tian'shang'zuo'ban'tong'you'xi 依旧天上作伴同游戏
'yi'ke'yi'song'zhu'yi'bei 亦可以送主一杯
'yi'ke'zi'zhe 以壳自遮
'yi'kong'si'chou 亦孔斯丑
'yi'li'wei'deng'xi'shang'ling'kong 迤逦危磴兮上凌空
'yi'lun'jiu'chou 彝伦九畴
'yi'pian'xin'cha'po'bi'xiang 一片新茶破鼻香
'yi'piao'miao'xi'qun'xian'hui 意缥缈兮群仙会
'yi'po'suo'zhi'gu'shu 依婆娑之古树
'yi'qi'wei'xi 曀其蔚兮
'yi'qian'jin'xi'shu'qie'shen 遗千金兮赎妾身
'yi'qian'lei 役黔羸
'yi'qian'shi'tu'cao'chu'jiu 依前使兔操杵臼
'yi'qing'se'xi'heng'liang'qin 倚清瑟兮横凉琴
'yi'ri'bu'jian'xi 一日不见兮
'yi'sheng'xin'ku'xi'yuan'bie'li 一生辛苦兮缘别离
'yi'shi'ha'ma'jing 疑是虾蟆精
'yi'shi'jian'zhe'zhang'zhen'wu 一时健者张振武
'yi'si'zi'xi'hou'men 意斯子兮候门
'yi'tu'wei'rou'shi'wei'gu 以土为肉石为骨
'yi'wa'zhe'si 以蛙磔死
'yi'wei'bai'xi'qiu'you'shi 夷为柏兮秋有实
'yi'wei'luan'yi 以为乱矣
'yi'wen'zhong'yi'yan'liu 倚文冢以淹留
'yi'xi'pan'gu'chu'kai'tian'di'shi 忆昔盘古初开天地时
'yi'xi'tai'pu'zhang'jing'shun 伊昔太仆张景顺
'yi'xi'zai'sha 一吸再喢
'yi'xun'suo'yu 一徇所欲
'yi'yao'fei'xi'xi'shuai'yin 熠耀飞兮蟋蟀吟
'yi'yi'ai'ai 猗猗娭娭
'yi'yi'he'ren'ji'xian'jue 已矣何人继先觉
'yi'yi'wen'cai'shi'yi'mi 衣以文采食以麋
'yi'yin'yi'qi'xi'qi'xiang'mie 一饮一憩兮气想灭
'yi'ying'bi'kou'bu'fu'yan 一鹦闭口不复言
'yi'ying'ceng'shuo'fu'wu'yi 一鹦曾说妇无仪
'yi'you'ri'xi'lai'gui 疑有日兮来归
'yi'yuan'ji'er'fen'zhuo'qing 一元既二分浊清
'yi'yue 一曰
'yi'zai'hu'chao'jian'hu'er 意在护巢兼护儿
'yi'zhang'fu'xi'yi'zhang'fu 一丈夫兮一丈夫
'yin'du'yu'zhi'lai'you 引蠹鱼之来游
'yin'feng'jia'shi'tong'zi'qian 因风假势童子牵
'yin'guai'tiao'jiao'xi'shui'zhong'yue 阴怪跳趫兮水中跃
'yin'han'ba'jian'xin'yan'luan 饮酣拔剑心眼乱
'yin'huo'ran'xi'zhong'zu'fei'wei 阴火然兮众族沸渭
'yin'jiang'yu'xi'qi'mi'he 饮将愉兮气弥和
'yin'nai'zheng'zhi 胤乃征之
'yin'qi'ning'xi'xue'xia'ling 阴气凝兮雪夏零
'yin'shuo'yao'ji'an'qi'zhu 因说妖姬暗欺主
'yin'wan'yin 引顽嚚
'yin'xiang'he'xi'bei'qie'qing 音相和兮悲且清
'yin'yin'sui'xi'fu'fu'xiang 阴阴邃兮馥馥香
'yin'zhi'sheng'yi 阴之胜矣
'ying'huo'long'zhi'shi 迎火龙之始
'ying'ji'cai'le'you'cang'ji 营基才了又仓基
'ying'sheng'jian'se'hua'cui'tui 莺声渐涩花摧颓
'ying'tao'tao'li'xiang'xu'kai 樱桃桃李相续开
'ying'wen'qi'xiao'xi 迎问其消息
'ying'yan'han'fu'sha'ying'you 鹦言悍妇杀鹦由
'ying'ying'rong'rong 瀛瀛溶溶
'ying'ying'ru'he 瀛瀛如何
'ying'zhan'rao'shu'tan'bu'de 鹰鹯绕树探不得
'yong'bu'neng'wang 永不能忘
'yong'ning'zhong'yu'xi'an'xia'dou 永宁中宇兮安下都
'yong'sui'zhong'chao'xi'chang'ruo'ci 永岁终朝兮常若此
'yong'wei'shi'zhen 永为世箴
'yong'yong'xi'xi 雍雍熙熙
'yong'zhu'yi'zi'jiang 拥主以自彊
'you'an'neng'jue'yun'er'shang'zheng 又安能决云而上征
'you'bu'wen'zhu'fo'shuo 又不闻诸佛说
'you'cang'cang'xi'duo'mu 又苍苍兮多木
'you'cao'mu'xi'chun'bu'rong 有草木兮春不荣
'you'chang'he 游阊阖
'you'chou'chang'er'wu'yu 犹惆怅而无语
'you'deng'bu'zhao'xi 油灯不照席
'you'di'you'di'zai'yuan'fang 有弟有弟在远方
'you'fei'jun'zi 有匪君子
'you'fei'wo'xin 有匪我心
'you'fu'wu'zhong'wai 又复无中外
'you'guo'shang 有国殇
'you'huo'bu'ke 犹或不可
'you'jie'ming'zhe'mei'ci'you 有洁冥者媚此幽
'you'jiu'you'jiu'dong'fang'ming 有酒有酒东方明
'you'jiu'you'jiu'fang'lan'man 有酒有酒方烂漫
'you'jiu'you'jiu'ge'qie'ai 有酒有酒歌且哀
'you'jiu'you'jiu'ji'chu'ming 有酒有酒鸡初鸣
'you'jiu'you'jiu'xi'an'xi'ming 有酒有酒兮黯兮溟
'you'jiu'you'jiu'xi'gao'lin'jiang 有酒有酒兮告临江
'you'jiu'you'jiu'xi'ri'jiang'luo 有酒有酒兮日将落
'you'jiu'you'jiu'xi'zai'zhu 有酒有酒兮再祝
'you'jiu'you'jiu'xi'zhan'lu'bo 有酒有酒兮湛渌波
'you'jiu'you'jiu'xiang'man'zun 有酒有酒香满尊
'you'ju'gen'di 有巨根蒂
'you'ke'cong'wai'lai 有客从外来
'you'ke'you'ke'zi'zi'mei 有客有客字子美
'you'lin'quan'er'deng'long'men 有鳞劝尔登龙门
'you'mei'you'mei'zai'zhong'li 有妹有妹在钟离
'you'niao'ming'qu'yu 有鸟名鸲鹆
'you'niao'you'niao'jie'bai'she 有鸟有鸟皆百舌
'you'niao'you'niao'mao'si'he 有鸟有鸟毛似鹤
'you'niao'you'niao'mao'yu'huang 有鸟有鸟毛羽黄
'you'niao'you'niao'ming'jun'gu 有鸟有鸟名俊鹘
'you'niao'you'niao'ming'lao'chi 有鸟有鸟名老鸱
'you'niao'you'niao'ming'lao'wu 有鸟有鸟名老乌
