'a'na'kan 阿那看
'chu'shi'teng'kong'jun'hou'dao 除是腾空君后到
'chu'shi'tian'zhi'de 除是天知得
'chu'shi'xue'er'chuan 除是雪儿传
'chu'xia 初夏
'chu'yu'xie 初雨歇
'chu'zhi'qi'zhu'sheng 楚制起诸生
'chuan'gan'xiu'leng 传柑袖冷
'chuan'shuo'ge'ban'zhang'zi 传说个般障子
'chuang'xia'yu'ling'tou'dai'jiu 床下玉灵头戴九
'chuang'xia'yue 窗下月
'chui'chui'qing'zi 垂垂青子
'chui'de'hua'cheng'jiu 吹得花成旧
'chui'de'luan'hong'zhan'xiu 吹得乱红沾袖
'chui'de'xiang'chou'cheng'yu 吹得湘愁成雨
'chui'hong'jin'shi'bu 垂虹今是不
'chui'li'lou'jin 吹藜漏尽
'chui'ming'qing'shi 垂名青史
'chui'tao'yu'xue 吹桃欲削
'chui'xiang'chao'hui 吹向潮回
'chui'xiao'jiang'shang 吹箫江上
'chui'xiao'ren'qu 吹箫人去
'chui'xiu'wu'xing'gong 垂袖舞行宫
'chui'yin'dai'yu 垂银带鱼
'chun'dang'xiao'han'bu'kuan'tiao 春当霄汉布宽条
'chun'dao'dong'fang'shen'chu'nuan 春到洞房深处煖
'chun'die'wu'qing'xuan 春蝶舞晴暄
'chun'feng'chun'shui'wu'guo'zhou 春风春水无过舟
'chun'feng'hao'dang'tian'ya'qu 春风浩荡天涯去
'chun'feng'li 春风里
'chun'feng'wu'lao'duo'nian'bie 春风五老多年别
'chun'feng'you'yi'nian'nian'dao 春风有意年年到
'chun'gan 春感
'chun'gong'chen'zou 春宫晨奏
'chun'guo'yu 春过雨
'chun'han 春寒
'chun'han'kong'shou'jin 春寒空受尽
'chun'han'zhi'le'fang'long'bi 春寒只了房栊闭
'chun'han'zhi'you'ren'chu 春寒知有人处
'chun'hu'li 春湖里
'chun'ji'gu'ren'bu'dao 春寄故人不到
'chun'kan'lian 春堪恋
'chun'lian'wo 春怜我
'chun'man'yan 春满眼
'chun'meng'bu'kan'zhong'zuo 春梦不堪重做
'chun'meng'jia'shan'he'chu 春梦家山何处
'chun'meng'zhuan'tou'kong 春梦转头空
'chun'mu 春暮
'chun'qiao'qiao 春悄悄
'chun'qing'hao 春晴好
'chun'qu 春去
'chun'qu'ren'jian'wu'lu 春去人间无路
'chun'qu'ye 春去也
'chun'qu'you 春去又
'chun'qu'zi'yi'yi 春去自依依
'chun'ri'chun'feng'lue'bin'xu 春日春风掠鬓须
'chun'ri'ji'shi 春日即事
'chun'ri'jiang'jiao 春日江郊
'chun'ri'shan'xing 春日山行
'chun'ri'xing 春日行
'chun'ru'chou'cheng 春入愁城
'chun'ru'fan'jiang'yu 春入番江雨
'chun'ru'gui'yu 春汝归欤
'chun'ru'zuo 春如昨
'chun'san'yue 春三月
'chun'se'he'ceng'lao 春色何曾老
'chun'shi'ju'ru'xu 春事遽如许
'chun'shi'shui'zhu 春事谁主
'chun'shi'wu'geng'xian'qu'le 春是五更先去了
'chun'shi'zi'wu'duo'xu 春事自无多许
'chun'tai'lu'gu 春台路古
'chun'wan'hu 春万户
'chun'weng'jin'zhao'shu 春瓮今朝熟
'chun'xi'si'si 淳熙四四
'chun'xiao 春晓
'chun'xiao'xiao 春小小
'chun'xing 春兴
'chun'yi'qu'ren'yuan'yi 春亦去人远矣
'chun'you'jin 春有尽
'chun'yu'bi'zhan'tian 春雨碧粘天
'chun'yu'bu'xu'qing 春雨不须晴
'chun'yu'man'jiang'cheng 春雨满江城
'chun'yue 春月
'chun'yun'mo'mo'lian'chun'kong 春云漠漠连春空
'chun'zheng'lian'yi'pa'bie'yi 春正怜伊怕别伊
'ci'chong'rong 词舂容
'ci'chu'qing'huai'yu'wen'tian 此处情怀欲问天
'ci'gong'qu'shu'si'xin'qiu 此公去暑似新秋
'ci'hen'nan'mo 此恨难磨
'ci'hen'nan'ping 此恨难平
'ci'hua'di'wang'yuan'fei'bo 此花地望元非薄
'ci'hua'ning'fu'feng'yun 此花宁复风韵
'ci'hua'reng'shi'wei'cheng 此花仍是微赪
'ci'hui'ji'shi'you 此会几时又
'ci'hui'mei'lai'you 此会没来由
'ci'hui'ming'nian'zhi'shui'jian 此会明年知谁健
'ci'ku'you'shui'zhi'fou 此苦又谁知否
'ci'ri'xin'ting'dui'qi 此日新亭对泣
'ci'shen'he'shi'jin'jing 此身合是金茎
'ci'sheng'bu'yuan'duo'cai'yi 此生不愿多才艺
'ci'shi'ba'jiu 此时把酒
'ci'shi'dui'ying'cheng'san 此时对影成三
'ci'shi'fu'an'zai 此事复安在
'ci'shi'wei'neng'fu 此事未能付
'ci'tong'yu'jun'tong 此痛与君同
'ci'tu'yi'wu'pu 此土亦吾圃
'ci'xi'jia'qi 此夕佳期
'ci'xi'lei'jiang'yue 此夕酹江月
'ci'yu'dong'feng'chen'tu 词与东风尘土
'ci'yue'gu'shi'ming 此月古时明
'ci'zhong'wu'po'tou'lv 此中无破头虑
'cong'chu'cuo'zhu'chi'yi 从初错铸鸱夷
'cong'ci'wu'feng'shi'yu 从此五风十雨
'cong'ci'xu'xi'li 从此须溪里
'cong'ci'xue'chi'long 从此学痴聋
'cong'cong 匆匆
'cong'cong'he'xu'jing'jue 匆匆何须惊觉
'cong'cong'sha'lu'ta'ru'bing 瑽瑽沙路踏如冰
'cong'cong'zui'li'ti'shi'man 匆匆醉里题诗满
'cong'jin'bao'fan'geng'an'mian 从今饱饭更安眠
'cong'jin'shi'wan'ba'qian'chang 从今十万八千场
'cu'cu'man'cheng'xiao'gu 簇簇满城箫鼓
'cu'jin'bu'cheng'die 蹙尽不成叠
'cu'yan'cheng'huang'fen'xie'ke 醋酽橙黄分蟹壳
'cui'fu'feng'tuo 翠釜峰驼
'cui'jiu'tang'qian 崔九堂前
'cui'mei'chou'ju 翠眉愁聚
'cui'mei'lian'ban'kan'cheng'lu 翠眉敛半看成露
'cui'xiu'bu'jin'chun'wu 翠袖不禁春误
'cui'xiu'bu'jin'feng'zhan 翠袖不禁风飐
'cui'xue 催雪
'cui'zhong'dun 催重顿
'cun'an'zi'dang'hai 村暗自当还
'cun'gu'zi'chun'sheng 村鼓自春声
'cun'shi'xue'xiao'sheng 村市学箫声
'cun'yan'xiang'dui'feng'nan'bei 村烟相对峰南北
'cuo'mo'meng'yun'nan'ji 错莫梦云难记
'cuo'xiang'wu'ling'ling'shang'wang 错向五陵陵上望
'da'ban'gui'mou'zhu'fu 大半归谋诸妇
'da'dao'gao'ya'qu 大纛高牙去
'da'di'shan'he'li'xu 大地山河里许
'da'dou'you'shen'en'li 大都有甚恩例
'da'feng'zuo 大风作
'da'hong'tao'hua 大红桃花
'da'jiang'dong'qu 大江东去
'da'po'xu'kong'wu'ai 打破虚空无碍
'da'shu'tui 大暑退
'da'xiao'bei'gong'cheng'di 大笑北宫称弟
'da'xiao'lu'tong'ma'yi 大小卢同马异
'da'xiao'xiang'feng 大笑相逢
'dai'chong'shu 待重数
'dai'chui'che'yu'xiao'ren'xing 待吹彻玉箫人醒
'dai'dao'xiang'zhou'ren'yi'lao 待到相州人已老
'dai'de'chong'yuan'shui'du'liang'you'you 待得重圆谁妒两悠悠
'dai'de'hua'qing 待得花晴
'dai'de'kai'qing 待得开晴
'dai'de'qing'shi'zuo'chu'ping 待得晴时坐触屏
'dai'de'yuan'gan'jin'feng 带得园柑进奉
'dai'dong'li'geng'jiu'huang'hua'pu 待东篱更就黄花浦
'dai'er'lang'zuo'shen 待二郎做甚
'dai'er'zhai 待儿摘
'dai'fu'song 大夫松
'dai'geng'xia'lan'gan 待更下阑干
'dai'gong'lai'she 待公来社
'dai'gong'mi'yue'zhong'tan 待公弥月重探
'dai'he'cheng'xiang 代贺丞相
'dai'he'liang'yi'zun'luo'yue 待河梁一尊落月
'dai'hua'ren'qu 戴花人去
'dai'huan'xing'chong'ting'jin'lv 待唤醒重听金缕
'dai'jiao'kai'dao'qiong'lin 待教开到琼林
'dai'jie'jun 待借君
'dai'jie'liu'ji'ceng'liu'de 待借留几曾留得
'dai'kan'hua'mo'dai'kai'cheng'shu 待看花莫待开成树
'dai'liu'chun'qian'sui 待留春千岁
'dai'man'cheng'yu'yu'qiong'lou 待满城玉宇琼楼
'dai'ni'feng'lv'xia 待泥封屡下
'dai'niang'tao'qian'shi'cheng'qian'zui 待酿桃千石成千醉
'dai'shou'dan'shan 代寿丹山
'dai'shuo'lai'tian'ye'ying'bei 待说来天也应悲
'dai'shuo'yu'tian'gong'zhi'dao 待说与天公知道
'dai'ta'qing'hou'de'jun'lai 待他晴后得君来
'dai'tian'feng'hao'dang'zhong'xie'shou 待天风浩荡重携手
'dai'tui'chuang 待推窗
'dai'wu'shi'fu'gui'cheng'chi 待五十富贵成痴
'dai'xie'da'zhao'zhao'xie 待写大招招些
'dai'xie'ren'jian'hui'mo'zhu 代谢人见惠墨竹
'dai'yan'ming'se 玳筵鸣瑟
'dai'yu'chi'bei'lun'dou 待与持杯论斗
'dai'yu'gui'jia'shan'wei'de 待欲归家山未得
'dai'yun'yuan'dan 黛云远澹
'dai'zhong'feng 待重风
'dan'bei'chuang'meng'zhuan 但北窗梦转
'dan'bei'guan'xia'ze 但北关下泽
'dan'bei'qiu 但悲秋
'dan'bing'shang'chun 但病伤春
'dan'chang'wang'xue'hua'ye'bai 但怅望雪花夜白
'dan'chou'man'qing'zhang 但愁满清漳
'dan'chuan'shuo 但传说
'dan'chun'qu'ren'jian'wu'yue 但春去人间无约
'dan'dan'yan'zhi 淡淡胭脂
'dan'dan'yan'zhi'qian'zhu'mei 淡淡胭脂浅著梅
'dan'dang'jia 但党家
'dan'dang'shi'yi'xiao 但当时一笑
'dan'dong'di'chao'sheng'ru'gu 但动地潮声如鼓
'dan'dong'li'ban'zui 但东篱半醉
'dan'dou'jian'kan'wang'cheng'long'qi 但斗间看望成龙气
'dan'duo'qing'ji'liao'xiang'nian 但多情寂寥相念
'dan'er'shi'nan'de 但儿时难得
'dan'feng'qu 但凤去
'dan'feng'yi'ji'shu 但逢驿寄书
'dan'fu'jin'li'zhang 但幅巾藜杖
'dan'gao'gao'du'yu 但高高杜宇
'dan'gao'ge 但高歌
'dan'gu'jin'feng'qing'yue'bai 但古今风清月白
'dan'gui'ying'pai'huai 但桂影徘徊
'dan'he'li'hua'ting 但鹤唳华亭
'dan'hen'bei'wu'lu'tian'jiu 但恨杯无露添酒
'dan'hen'cai'qing'dou'lao 但恨才情都老
'dan'hen'you'yu'wu'jiu 但恨有鱼无酒
'dan'hua'jiao'sheng'can 但画角声残
'dan'hua'ru'rou'se'yao'rao 但花如肉色妖娆
'dan'huang'cun'bai'bi'xuan'suo 但荒村败壁悬梭
'dan'huang'yang'chang'cun 但黄杨长寸
'dan'hui'shou'qin'wang'han'shi 但回首秦亡汉驶
'dan'ji'li'xiao'chuang'xie'yu 但寂历小窗斜雨
'dan'ji'mo'huang'hun 但寂寞黄昏
'dan'jian'shi'nian'qian 但减十年前
'dan'jian'shuo'xing'zhou 但见说行昼
'dan'jian'yan'chen'bian 但箭雁沉边
'dan'jian'zhu'xi'chuang 但剪烛西窗
'dan'jiang'nan'xin'hao 但江南心好
'dan'jin'nian'ci'ri 但今年此日
'dan'jing'dou'bu'kan 丹经都不看
'dan'jing'po'ni'chang'shu'sheng 但惊破霓裳数声
'dan'ke'si'gong'long 但可似公聋
'dan'liu'kun'yi'dan 但留髡一石
'dan'luo'hong'zhi'shang'bu'kan'an 但落红枝上不堪安
'dan'man'yan'yang'hua'hua'bai'zhan 但满眼杨花化白毡
'dan'meng'meng'zuo'fei'jin'shi 但梦梦昨非今是
'dan'meng'rao'qing'shen 但梦绕青神
'dan'meng'zhao'yun 但梦朝云
'dan'mo'shang'xiang'feng 但陌上相逢
'dan'mu'ji'xin'shang 但目极心伤
'dan'pai'huai'meng'xiang 但徘徊梦想
'dan'qi'jiang'suo'de'jie'chun'zhou 但乞浆所得皆醇酎
'dan'qi'shou'fu'xing'chu'du 但稽首福星初度
'dan'qi'shou'wu'wu'wu'yu 但稽首乌乌无语
'dan'qian'hu'tong'fu 但欠虎铜符
'dan'qian'nian'chuan'shuo 但千年传说
'dan'qing'cao'wu'se 但青草无色
'dan'qing'zun'lin'li'zui'mo 但倾尊淋漓醉墨
'dan'qiu'feng'nian'you'yi'nian'shen 但秋风年又一年深
'dan'qiu'qin'meng'qian 但秋衾梦浅
'dan'quan'er'shi'wo 单圈儿是我
'dan'ru'gua'da'zao 啖如瓜大枣
'dan'ru'jin'fu'yang'cheng'qian'du 但如今俛仰成前度
'dan'sha'bian'zuo'jin'gou'lou 丹砂便做金勾漏
'dan'shao'bian'chang'ge'gui'qu 但哨遍长歌归去
'dan'shi'yi'dang'qian 但适意当前
'dan'shu'sheng'jing'jue'xing'yun 但数声惊觉行云
'dan'si'hai'jiu'zhou 但四海九州
'dan'wen'mou'suo'quan'gan 但问某所泉甘
'dan'xi'shu'qi'nian'ji'ren'cun 但细数齐年几人存
'dan'xi'yu'duan'qiao 但细雨断桥
'dan'xiang'can'hong'ren 但向残红认
'dan'xiang'ru'lao'qu 但相如老去
'dan'xiang'sui'duan'yan 但相随断雁
'dan'xiao'jian'mei'zan'gong'bin 但笑拣梅簪公鬓
'dan'xin'chou'wei'shi 但新篘未试
'dan'xing'qu'xing'lai 但行去行来
'dan'yan'qian 但眼前
'dan'yi'jiu 但依旧
'dan'yi'sheng'he'man 但一声河满
'dan'ying'de'yi'nian'nian'shou 但赢得一年年瘦
'dan'you'chang'yang 但有昌阳
'dan'you'shi 但有时
'dan'yuan'ke'chang'man 但愿客常满
'dan'yuan'ren'chang'jiu 但愿人长久
'dan'yuan'zan 丹元赞
'dan'zhao'ying'di'liu 但照影堤流
'dan'zhong'sheng 但重省
'dan'zhu'lei'zong'heng 弹烛泪纵横
'dang'chao'zi'fu 当朝自负
'dang'chu'gong'dao'qing'tian'zhong 当初共道擎天重
'dang'fu'gui 当富贵
'dang'hu'xiao'feng'qing'shu 当户小风轻暑
'dang'jia'ren'zai'xiao'jin'zhang 当家人在销金帐
'dang'nian'le'shi'zhao'zhao 当年乐事朝朝
'dang'nian'qing'niao'qu 当年青鸟去
'dang'nian'san'wu'wu'tai'ping 当年三五舞太平
'dang'nian'shi 当年事
'dang'nian'wei'zhi'xing'le 当年未知行乐
'dang'nian'xiao'hua'xin 当年笑花信
'dang'nian'zhang'shang'kai'yuan'bao 当年掌上开元宝
'dang'nian'zhi'dao'qing'san'gu 当年知道晴三鼓
'dang'shi'fei'yan'ma'shang 当时飞燕马上
'dang'shi'lao'sou 当时老叟
'dang'shi'ye'xia'xian'lv 当时邺下仙侣
'dang'shi'yue 当时月
'dang'yue'xia'xian 当月下弦
'dao'bian'wu'xian'hua'cao 道边无限花草
'dao'cha'yan'xie'hou 到茶烟歇后
'dao'cheng'zhong 到城中
'dao'chu'chi'bei'ji'fang'cao 到处持杯藉芳草
'dao'chu'qi'liang 到处凄凉
'dao'chu'zi'shen'tong 到处自神通
'dao'chun'hai'si'bu'ru'xian 到春还似不如闲
'dao'chun'lai'ye'shi'xun'si 到春来也是寻思
'dao'chun'shi'yu'shui 到春时欲睡
'dao'ci'yan'fang'ming 到此眼方明
'dao'ci'yin'ku'shen'cui 到此吟枯神瘁
'dao'er'jin 到而今
'dao'er'jin'you'dai'lian'chao 到而今犹带脸潮
'dao'er'jin'you'hen 到而今又恨
'dao'er'jin'zong'shi'jing'xing'chu 到而今总是经行处
'dao'fen'qu 到汾曲
'dao'hai'ji'shi'hui 到海几时回
'dao'jia'fou 到家否
'dao'jin'ci'yu'gui'he'chu 到今此欲归何处
'dao'jin'hen'bu'bian'chao'zhou 到今恨不贬潮州
'dao'jin'ye'lu'chen'cao'mei 到今也陆沉草昧
'dao'qi'tu'wei 倒骑秃尾
'dao'ren'shen 道人身
'dao'ru'jin'shen'ming'ji'xu 到如今沈冥几许
'dao'shang'qu'ren'xi 道上去人稀
'dao'shi'liu'li'shu'tian'zi 道是流离蜀天子
'dao'shi'quan'wu'you'you 道是全无又有
'dao'xiang'pu 到相圃
'dao'yi'qu'ru'feng 道伊去如风
'dao'zan'yu'ren'dai'ren'pin'quan 到簪萸忍待人频劝
'dao'zhang'zhu'yi'xie 倒杖拄颐斜
'dao'zui'xiang'wu'bian'wu'an 道醉乡无边无岸
'de'ren'lian 得人怜
'de'si'dong'zhong'hong 得似洞中红
'de'tuan'luan'ren'bu'kai'mei 得团栾忍不开眉
'deng'dai'bian'luan'chi'feng 等待鞭鸾笞凤
'deng'dai'zheng'gong'feng 等待郑公风
'deng'de'san'zhao'hao'lao 等得三朝好老
'deng'duo'shi'chun'bu'gui'lai 等多时春不归来
'deng'fang'hua'xing 灯舫华星
'deng'gao'neng'fu'zui'ku 登高能赋最苦
'deng'gao'yi'xiao 登高一笑
'deng'gong'qiang'qing'yu 灯共墙檠语
'deng'hua'hai'you'jie 灯花还又结
'deng'huo'jian'shen'zhou 灯火见神州
'deng'huo'ling'xing'yu'ji'liao 灯火零星雨寂寥
'deng'lin'xiao'ao'xi'shan'hu 登临笑傲西山笏
'deng'shou'shi 灯收市
'deng'tan'bao'zhu'dou'xian'ying 灯毯爆竹斗先嬴
'deng'xian'xiang'yue'shi'kan'deng 等闲相约是看灯
'deng'yun'bi 灯晕碧
'di'bu'ru'ren'jin'lao'yi 弟不如人今老矣
'di'chang'qian'zhen'qi'feng 低唱浅斟齐奉
'di'chui'bai'bin 低垂白鬓
'di'di'ya'chui'mao 低低压吹帽
'di'jin'shou'gong'nan'ke'ran 滴尽守宫难可染
'di'li'fan'qiang 笛里番腔
'di'lie'he'ku'chen'qi'feng 地裂河枯尘起风
'di'shang'qun'er 地上群儿
'di'yi'shi'zhong'yuan 第一是中元
'di'zi'you'nian'yu'ci 弟子有年于此
'dian'ban'dian'ban'jin'si'xue 点半点斑今似雪
'dian'dian'shan'he'jing'guo'le 点点山河经过了
'dian'dian'shou'gong'bao'hong'lei 点点守宫包红泪
'dian'dian'shu'lin'yu'xue'tian 点点疏林欲雪天
'dian'dian'yi'ru'xian 点点已如霰
'dian'que'chao'shan 典却朝衫
'dian'que'xi'hu'dong'hu'zhu 典却西湖东湖住
'dian'yi'gu'mei'jiu 典衣沽美酒
'dian'yi'yu'zuo'tang'bing 典衣欲作汤饼
'diao'an'jun'ma'fan'zhuang'li 雕鞍骏马番装笠
'diao'zhong'gu 吊终古
'die'fei'yong 蝶飞慵
'die'gu'chun'sheng'huan'sui'mu 叠鼓春声欢岁暮
'die'ping'ting 叠娉婷
'die'rao'dong'li 蝶绕东篱
'die'xiu'mang 蝶休忙
'die'yun 叠韵
'ding'bei'jin'wu'yang'yu'jia'wan 定碑金无恙庾家完
'ding'chou'song'chun 丁丑送春
'ding'da'jia 定大家
'ding'fu'ji'shi'dao 定复几时到
'ding'ning'bai'yu'lian 丁宁白玉鍊
'ding'shang'xin'shuang'ye'he'xiao 顶上新霜也合销
'ding'shi'ci'chen 定是雌辰
'ding'shui'fu 定谁福
'ding'shui'lao 定谁劳
'ding'shui'neng 定谁能
'dong'bian'lao'shu'tui'ran'zhe 东边老树颓然折
'dong'fang'chu'jiu 洞房初就
'dong'fang'ting'zhu 洞房停烛
'dong'feng'dian'dian'luan'cha'yan 东风点点乱茶烟
'dong'feng'hai'zi'hen 东风还自恨
'dong'feng'jie'shou'ji'tian'ya 东风解手即天涯
'dong'feng'jue'si'liu'qing'huai 东风绝似柳情怀
'dong'feng'qi 东风起
'dong'feng'qi'yu 东风绮语
'dong'feng'si'jiu 东风似旧
'dong'feng'si'ke 东风似客
'dong'feng'yu 东风雨
'dong'feng'zi'fang'yin'hua'shu 东风自放银花树
'dong'feng'zi'song'gui'fan'qu 东风自送归帆去
'dong'huang'tai'hao 东皇太昊
'dong'jia'zhe 东家者
'dong'jun'zao'hua'yi'he'gong 东君造化一何工
'dong'lai'xi'qu'jue'xian'shan 东来西去爵衔鳣
'dong'lao'he'shi 湩酪何食
'dong'li'du'zi'han 东篱独自寒
'dong'lian'wu'hui 东连吴会
'dong'lin'fu'ji'ren'xu 东林复几人许
'dong'ling'fan'fu 东陵反覆
'dong'ling'gua'yuan 东陵瓜远
'dong'men'cao 东门草
'dong'ming'tang'xu'yao'xiong'cai 栋明堂须要雄材
'dong'shan 东山
'dong'shan'xie'shou 东山携手
'dong'shi'shi 冬十十
'dong'ting'shuang'ya'lv'dui'huang 洞庭霜压绿堆黄
'dong'ting'ye'bai 洞庭夜白
'dong'wang'fu'rong'piao'miao 东望芙蓉缥缈
'dong'wu'xi'chu 东吴西楚
'dong'xi'shu 东西塾
'dong'yu'cun'cun'gu 冻雨村村鼓
'dong'yu'qian'chao'wu'xi'shi 冻雨前朝浯溪石
'dou'bian'yao'cao 都变瑶草
'dou'fu'duan'chang'sheng 都付断肠声
'dou'men'lu 都门路
'dou'ren'wang 都人望
'dou'shi'jiu'shi'xing'le 都是旧时行乐
'dou'shi'yun'ying 都是云英
'dou'zhi'qiong'huang 斗智琼黄
'dou'zhuan'cheng'huang 斗转城荒
'du'bi'ruo'wei'chou 犊鼻若为酬
'du'cheng'xi'nong'hua'lan'man 独成蹊秾华烂漫
'du'jiang'heng'ji 渡江横楫
'du'jiao'wang'xie'ru'ci 独教王谢如此
'du'juan'sheng'li'chang'men'mu 杜鹃声里长门暮
'du'lao'jiang'tou 杜老江头
'du'li'chun'xiao 独立春宵
'du'shan'gu'nian'cheng'shen'shi 独擅古念称神师
'du'su'qiong'lou'dan'gui 独宿琼楼丹桂
'du'yi'lan'gan 独倚阑干
'du'yi'lan'gan'ji'bian 独倚阑干几遍
'du'zhuo'wei'neng'zui 独酌未能醉
'duan'bu'fu'dang'nian'hu'shi 端不负当年弧矢
'duan'chang'he'si 断肠何似
'duan'chang'ku 断肠苦
'duan'chang'li'jue'xian'qin 断肠理绝弦琴
'duan'chang'wu'shu 断肠无数
'duan'hong'fang'cao 断红芳草
'duan'qiao'hun'meng'cen'ci 断桥魂梦参差
'duan'ren'chang 断人肠
'duan'sheng'jie'wei'bing 端胜解围兵
'duan'song'chun'xiao 断送春宵
'duan'wu 端午
'duan'wu'he'yun 端午和韵
'duan'yan'jin'ye 断烟禁夜
'duan'yun'shi'you'lei'xiang'he 断云时有泪相和
'duan'zi'you'yu'tang'jin'dou 端自有玉堂金斗
'dui'can'yang 对残阳
'dui'cang'tai'duo'lei'lian'chen'fu 对苍苔堕泪怜臣甫
'dui'chan'juan'jun'ge'wo'wu 对婵娟君歌我舞
'dui'chuang'yong'yi 对床永已
'dui'duan'yan'jin'huo 对断烟禁火
'dui'dui'yuan'yang'qi 对对鸳鸯起
'dui'hua'man'jiang'cheng 对花满江城
'dui'ke'cheng'hao 对客称好
'dui'ying'heng'e'cheng'san'chu 对影姮娥成三处
'dui'ying'san'ren'cheng'liu'ke 对影三人成六客
'dui'zhi'zi'jue'qing'ren'rou 对之自觉清人肉
'dui'zun'qian'zan'hua'qi'zhu 对尊前簪花骑竹
'dun'jing'yao'xi 顿惊腰细
'dun'jue'hao'feng'sheng'yu'ye 顿觉好风生雨腋
'duo'gong'sheng'pin 堕贡生贫
'duo'hua'jian'xing'xing'fei'zhu 堕华笺行行飞翥
'duo'lei'hu'cheng'xing 堕泪忽成行
'duo'lei'shao'qian'tu 堕泪少乾土
'duo'lei'shui'xi'liu 堕泪水西流
'duo'nian'cun'luo'zou 多年村落走
'duo'nian'lv'mu'huang'lian 多年绿幕黄帘
'duo'nian'xiu'ban'xin'xiang 多年袖瓣心香
'duo'nian'zhi'shi 多年致仕
'duo'qing'shui'dao'xing'he'xiao 多情谁到星河晓
'duo'qing'su'zhi'chen'sheng'bu 多情素质尘生步
'duo'shao'bu'shi'wu'cai'qi 多少不是无才气
'duo'shao'gao'yang'ban'lv 多少高阳伴侣
'duo'shao'xian'hua'yu'fan'hui 多少闲花与凡卉
'duo'xie'bai'yi'tiao'di 多谢白衣迢递
'duo'yin'tai 夺银胎
'e'qian'shu'ba'shi 额前书八十
'e'si'xi'shan 饿死西山
'er'ba'qie'chong'chong 二八且重重
'er'ba'wu'ge'zhong 二八舞歌钟
'er'geng'kan 二更看
'er'jin'an'zai 而今安在
'er'jin'duan'yan'xi'yu 而今断烟细雨
'er'jin'he'chu 而今何处
'er'jin'hun'meng'nian'duo 而今魂梦年多
'er'jin'neng'fu'duan'chang'yu 而今能赋断肠语
'er'jin'rao'shi'ge'er'ma 而今绕市歌儿马
'er'jin'tian'shang 而今天上
'er'jin'wu'nai 而今无奈
'er'lang'jun'wei 儿郎俊伟
'er'nv'bu'kan'chou 儿女不堪愁
'er'nv'cheng'wei 儿女成围
'er'nv'man'qu'qu 儿女漫区区
'er'nv'qian'yi'tuan'luan'chu 儿女牵衣团栾处
'er'pai'shou 儿拍手
'er'ru'shuang'qiao'xiao 尔汝霜桥晓
'er'san'jun'zi 二三君子
'er'san'yue 二三月
'er'san'zi'zhe'jin'ru'ci 二三字者今如此
'er'sheng'nei'zhu'shi'shao'qian 二升内煮石烧铅
'er'shi'nian'qian'ci'ri 二十年前此日
'er'shi'si'qiao 二十四桥
'er'shi'si'qiao'ge'wu 二十四桥歌舞
'er'tong'guai'wo'lao'lai'kuang 儿童怪我老来狂
'er'tong'kan'you'zi 儿童看有子
'er'tong'qie'mo'chang'huang'du 儿童且莫唱皇都
'er'tong'wen'wo'jin'he'zai 儿童问我今何在
'er'tong'wen'wo'xu'ying 儿童问我须应
'er'tong'xi 儿童喜
'er'xi'da'huai'zhong 儿戏大槐中
'er'xi'na'kan'xi 儿戏那堪惜
'er'yue'ba 二月八
'er'yue'zhi'jian'hun'si'ci 二月之间浑似此
'er'zi'men'sheng'ge'ge'chi 儿子门生个个迟
'fa'mu'ying'ying'chu'you'gu 伐木嘤嘤出幽谷
'fan'cheng'zhuo 翻成拙
'fan'fan'fei'ru'xun'xiang'jing 翻翻飞入寻香径
'fan'hu'shu 翻虎鼠
'fan'jia'geng'gong'shui'jia'yu 樊家更共谁家语
'fan'shi'chun'shan'ban'xiu 翻湿春衫半袖
'fan'yi'qi'shou 烦伊起寿
'fan'ying'fu'hong 泛影浮红
'fan'yun'xu'yi 翻云须易
'fan'zuo'yi'jiang'chun'shui 翻作一江春水
'fang'cao'bi 芳草碧
'fang'cao'lian'tian 芳草连天
'fang'cao'mi'jin 芳草迷津
'fang'cao'ru'yun 芳草如云
'fang'cao'ting'yuan'shen 芳草庭院深
'fang'jian'jia'ren'yu'mian'hong 方见佳人玉面红
'fang'jing'xiang'feng'jing'xiao'ye 芳径相逢惊笑靥
'fang'jing'you'zi'ru'gu 芳景犹自如故
'fang'mei 访梅
'fang'wu'ren'yan'dou'xi 方悟人言都戏
'fang'zhi 方知
'fang'zhi'dao 方知道
'fang'zhi'dao'qian'ci'he'rong 方知道前此和戎
'fang'zhi'ming'bu'ru'jiu 方知名不如酒
'fei'chen'ni'du 非臣逆睹
'fei'chu'chu 非出处
'fei'gai'xiang'wang 飞盖相望
'fei'guan'si'mian'wei'chu 非关四面为楚
'fei'guo'jie'hui'ru'xi 飞过劫灰如洗
'fei'hong'si'yu 飞红似雨
'fei'hua'yong'dao 飞花拥道
'fei'lai'fei'qu'zi'ru'hua 飞来飞去自如花
'fei'qi'bu'xu'pai 飞骑不须排
'fei'qu'pian'pian'xian'bai'lu 飞去翩翩嫌白鹭
'fei'shi'xue 非是雪
'fei'wei'cang'cui'lie'feng'qing 非惟苍翠列风轻
'fei'xia'lei 非瑕颣
'fei'xia'yi'luo'wu'gen'di 飞霞一落无根蒂
'fei'xu'duo'shi 飞絮多时
'fen'dai'bu'xu'nong 粉黛不须浓
'fen'fen'tao'li'jie'fan'su 纷纷桃李皆凡俗
'fen'xiang'he'lei'luo'jun'qian 粉香和泪落君前
