'a'cao'po 阿曹婆
'shi'zhong'ken 是衷恳
'shi'zhong'zhong'shi'shi'hai'zhong 始终终始始还终
'shi'zi'hou 师子吼
'shi'zi'zong 师子踪
'shi'zui'shan 时最善
'shou'lu'fen'nan'bei 受禄分南北
'shou'tong'shan'yue'chang'jiang'shui 寿同山岳长江水
'shou'xie'jing'ke'xue'jian'cha 手携经榼学煎茶
'shou'zhe'yao 寿者夭
'shou'zhi'gang'dao'li'shuang'xue 手执钢刀利霜雪
'shou'zhi'lv'chen'qiang'si'tie 手执绿沉枪似铁
'shou'zhi'qiang'guo 守志强过
'shu'jin'hua 蜀锦花
'shu'juan'shi'nian'gong'ji 书卷十年功积
'shu'ming'nian'fu'nian 书名年复年
'shu'nian'lu'ge'shi'chao'yi 数年路隔失朝仪
'shu'nian'xue'jian'gong'shu'ku 数年学剑攻书苦
'shu'rong'jue'sheng'shang'yang'jia 殊容绝胜上阳家
'shu'se'cai'neng'fen'hu'you 曙色才能分户牖
'shu'shou'yuan'gui'tou 束手愿归投
'shu'tou'jing'yang 梳头京样
'shuai'bing'xiang'qian'si'ba'mao 衰病相牵似拔茅
'shuang'fei'tiao'di'li'shan'he 双飞迢遰历山河
'shuang'jian'lou'zuo'lian'hua'wan 霜笺镂作莲花碗
'shuang'lin'li'shi'zun 双林礼世尊
'shuang'mei'ying'zi'shu 双眉应自舒
'shuang'shuang'zhi'zhi'yuan'yang'yu 双双只只鸳鸯语
'shuang'tian'han'ye'zi'jie'xu 霜天寒夜自嗟吁
'shui'jia'tai'xie'jian 谁家台榭间
'shui'mian'shang'cheng'chui'fu 水面上秤锤浮
'shui'mian'shen'wei'fen'xia'tu 谁免身为坟下土
'shui'mian'wu'chang'an'qin'hao 谁免无常暗侵耗
'shui'sheng'kan'duan'chang 水声堪断肠
'shui'shi'ren'jian'zhi'xiao'si 睡是人间之小死
'shui'shi'you'bang'guo 谁是忧邦国
'shui'wei'chuan'shu'yu 谁为传书与
'shui'xian'fu'sheng'rong'yu'gui 谁羡浮生荣与贵
'shui'zhi'yi'bie'yin'xin'xi 谁知一别音信稀
'shuo'chu'lian'hua'jing'ba'juan 说出莲花经八卷
'shuo'yi'chang 说一场
'shuo'zhe'bi'tou'suan 说着鼻头酸
'shuo'zhe'qi'bu'shu 说着起不舒
'shuo'zhu'men'tu'xu'tong'nao 说著门徒须痛恼
'si'bi'luo'guan 丝碧罗冠
'si'da'zhi'shen'ying'bu'jiu 四大之身应不久
'si'dao'lai 死到来
'si'geng'chang 四更长
'si'geng'cong'zhu'nong'gong'shang 四更藂竹弄宫商
'si'geng'lan 四更阑
'si'geng'ye'yue'pian 四更夜月偏
'si'hai'qing'ping'yu'you'nian 四海清平遇有年
'si'hai'tian'xia'ji'zhu'zhou 四海天下及诸州
'si'hao'qi'xian'jie'zuo'tu 四皓七贤皆作土
'si'hu'ru'qiu'shan 似虎入丘山
'si'jin'kan'you'wan 似锦堪游玩
'si'liang 思量
'si'liang'juan'shu'zan'tong'ju 思量眷属暂同居
'si'liang'neng'de'ji'duo'shi 思量能得几多时
'si'liang'yi'ye'bai'qian'jia 思量一夜百千家
'si'meng'shi'shi'shui 思梦时时睡
'si'meng'wu 思梦误
'si'mian'liu'fan'wei 四面六蕃围
'si'mo'lai 死魔来
'si'sai'hu'wen'lang'yan'qi 四塞忽闻狼烟起
'si'sai'xiu'zheng'ba'zhan 四塞休征罢战
'si'sheng'fo 似生佛
'si'shi'kan'kan'yu'xia'po 四十看看欲下坡
'si'shi'wu'xi'fu'wu'mian 四时无息复无眠
'si'shi'you'xuan'zong'lan'zhi 四十幽玄总揽知
'si'ti'chen'chen'nan'qi'zhi 四体沉沉难起止
'si'wang'lai 死王来
'si'wang'shui'pa'jing'qian'hua 死王谁怕镜前花
'si'xu'er'nv'du'gu'qi 斯须儿女独孤栖
'si'yi'qi'shou'yu'jie'qian 四夷稽首玉阶前
'si'you'sheng 死又生
'si'you'sheng'ren'wang 思佑圣人王
'si'yue'meng'xia'xia'jian're 四月孟夏夏渐热
'si'zhi'jue'leng'yan'nan'yi 四肢厥冷恹难医
'si'zhi'wu'qi'li 四肢无气力
'song'bai'zong'ran'jing'sui'han 松柏纵然经岁寒
'song'qiu'ye'luo'ji'chun'feng 松楸叶落几春逢
'su'mo'zhe 苏莫遮
'su'su'gao'seng'li'zhu'yuan 肃肃高僧离竹院
'su'xiong'lian'lian'liu'mei'di 素胸莲脸柳眉低
'su'xiong'wei'xiao'can'xue 素胸未消残雪
'su'yan'ge'fa'rao'diao'liang 素咽歌发绕雕梁
'su'zhi'yan'li'qing'chun 素质艳丽青春
'suan'qian'che'shu'you'jiu'ji 算钱彻曙犹啾唧
'sui'can'lie 虽惨烈
'sui'deng'bao'wei 岁登宝位
'sui'feng'shan'jing'zan'hui'xin 虽逢善境暂回心
'sui'fo'xiao'yao'deng'shang'jie 随佛逍遥登上界
'sui'shi'fan'le'lue'quan'tou 随时饭了略跧头
'sun'jun'shou 损君寿
'suo'li'bu'shou'chuan'bu'xi 蓑笠不收船不系
'suo'yi'bu'lai'guo 所以不来过
'suo'yi'jiang'shen'yan'sou'xia 所以将身岩薮下
'suo'you'hong'bo 所有红波
'tai'fu'hua 太傅化
'tai'jiao'duo 态娇多
'tai'ju'jin'san'nian 抬举近三年
'tai'pan'jiao'xia'jiu'pang'tuo 台盘脚下酒滂沱
'tai'shang'yue 台上月
'tai'zi'guang'kai'miao'fa'men 太子广开妙法门
'tai'zi'ku'xing'wan'li'xiang 太子苦行万里香
'tai'zi'ru'shan'xiu'dao'zan 太子入山修道赞
'tai'zi'shen'tong'shi'zhi'hui 太子神通实智慧
'tai'zi'shi'er'shi 太子十二时
'tai'zi'teng'kong'wu'ren'jian 太子腾空无人见
'tai'zi'wu'geng'zhuan 太子五更转
'tai'zi'wu'xin'lian 太子无心恋
'tai'zi'wu'xin'lian'sheng'se 太子无心恋声色
'tai'zi'xiu'xing'shi'xin'ku 太子修行实辛苦
'tai'zi'yin'zhong'shi'fo'shen 太子因中是佛身
'tai'zi'yu'fa'zuo'xin'si 太子欲发坐心思
'tan'cai'shi'se'xian'xi'ren 贪财嗜色险巇人
'tan'huan'bu'jue'geng'shen 贪欢不觉更深
'tan'jing'yu'dian'qing'lei'yu 谈经御殿倾雷雨
'tan'kuang'fu 叹狂夫
'tan'li 贪利
'tan'qie'si'jun'chang'yu'duan 叹妾思君肠欲断
'tan'si'yi'gu'er 贪餧一孤儿
'tan'tao'zhi'yi'ruo'chai'lang 贪饕之意若豺狼
'tan'wu'geng 叹五更
'tang'ruo'you'yi'jia'pan'lang 倘若有意嫁潘郎
'tao'ran'jie'jiao'duo'ju'hui 陶染结交多聚会
'teng'ta'shan'yue'cui 腾踏山岳摧
'ti'dan'han 体单寒
'ti'hang'lu 梯航路
'ti'jie'wang 体皆亡
'ti'mao'chao'qun 体貌超群
'tian'jian'xiao 天渐晓
'tian'jie'wen'ma'si 天街闻马嘶
'tian'ran'you 天然有
'tian'shang'yue 天上月
'tian'si'shui 天似水
'tian'tong'di'bu'tong 天同地不同
'tian'wang'hao'zuo'ping 天王号作瓶
'tian'xian'bie'hou'xin'nan'tong 天仙别后信难通
'tian'xian'zi 天仙子
'tian'zi'bu'jiang'yin'xin'ying 天子不将印信迎
'tiao'di'ke'zhi'gui'ge 迢递可知闺阁
'ting'fa'wen'jing'mian'li'wei 听法闻经勉力为
'ting'qian 庭前
'ting'qian'wo'zi'pin'pin'fei 庭前猧子频频吠
'ting'qian'yi'zhu'hua 庭前一株花
'ting'qu'hu'ge'shen'ke'lian 听取胡歌甚可怜
'ting'wo'jin'zhao'xiang'quan'yu 听我今朝相劝语
'ting'zhu'fen'xiang'gao'tian'di 停烛焚香告天地
'tong'deng'xin'lou'shang 同登新楼上
'tong'hen'xian'fu'zai'yu'yang 痛恨贤夫在渔阳
'tong'shan'yue'jiang'he 同山岳江河
'tong'yi'ban 痛一般
'tou'guang'zao'bi'shi'yin'qin 偷光凿壁事殷勤
'tou'mian'da'han'yong'fen'li 头面大汗永分离
'tou'qing'luo 透轻罗
'tou'ru'zhen'la'han'wei'wei 头如针剌汗微微
'tou'zou'qi'xu'kan 偷奏岂须看
'tu'lao'gong'zi'gan'chang'duan 徒劳公子肝肠断
'tu'ni'nian'hua'mai'shen'xi 吐逆黏滑脉沈细
'tu'xia'lei 徒下泪
'tuan'tuan'ming'yue'zhao'jiang'lou 团团明月照江楼
'tun'sheng'ren'lei'gu'mian 吞声忍泪孤眠
'tuo'gu'jiu 托姑舅
'wan'ban'wu'nai'chu 万般无奈处
'wan'bang'wu'shi'mie'ge'chan 万邦无事灭戈鋋
'wan'fang'xiu'zhan'zheng 万方休战争
'wan'gong'ru'yue'she'shuang'diao 弯弓如月射双雕
'wan'gu'kong'liu'yi'tu'dui 万古空留一土堆
'wan'gu'qian'qiu'sui 万古千秋岁
'wan'gui'qian'xiang'a'shui'wu 万柜千箱阿谁物
'wan'hu'qian'men'xi'xuan'xuan 万户千门悉喧喧
'wan'ji'tou'tou'xiang'jie'yin 万计头头相接引
'wan'jia'xiang'yue'xia 万家向月下
'wan'jie'lun'hui'he'ri'le 万劫轮回何日了
'wan'li'bei'ming'xun'fang'jun 万里悲鸣寻访君
'wan'ren'le 万人乐
'wan'ren'shui'gan'dang 万人谁敢当
'wan'ren'tiao'tiao 万仞迢迢
'wan'xi'han'fang 万喜含芳
'wang'ba'jin'chai'bu 枉把金钗卜
'wang'chun'xi'chang'le 望春希长乐
'wang'ci'lang 王次郎
'wang'dan'que 望丹阙
'wang'jian'fu'sang 望见扶桑
'wang'jiang'nan 望江南
'wang'lai'wei'you'bu'jing'guo 往来未有不经过
'wang'lao'hun'meng 枉劳魂梦
'wang'qian'shi'hou'shao'jing'shen 忘前失后少精神
'wang'ri'chen'lao'jin'xiao'mie 往日尘劳今消灭
'wang'wang'pao'jing'zhai'cao'hua 往往抛经摘草花
'wang'xiang'guan'shuang'lei'chui 望乡关双泪垂
'wang'xiang'tuan 妄想抟
'wang'xiang'ying 往相迎
'wang'xiang'zhen'ru'bu'yi'ju 妄想真如不异居
'wang'yuan'xing 望远行
'wang'yue'long'xi'sheng 望月陇西生
'wang'yue'po'luo'men 望月婆罗门
'wang'yue'qu'wan'wan 望月曲弯弯
'wang'yue'zai'bian'zhou 望月在边州
'wei'bian'gui'cang'hai 未变归沧海
'wei'chuan'qian'wan'yan 为传千万言
'wei'di'zeng'xian'bai'ban'you 隈地憎嫌百般有
'wei'fo'yu'fo'nai'neng'jian 唯佛与佛乃能见
'wei'guo'jie'zhong'zhen 为国竭忠贞
'wei'guo'sao'dang'kuang'yao 为国扫荡狂妖
'wei'guo'tuo'xi'guan 为国讬西关
'wei'guo'yuan'chang'zheng 为国愿长征
'wei'hen'lei'nian'bie 惟恨累年别
'wei'jian'zhen'pu'sa 为见真菩萨
'wei'jun'wang 为君王
'wei'jun'xue'chu'lun'hui'ben 为君雪出轮回本
'wei'le'zai'chong'mo 硙了再重磨
'wei'mi'feng'hou'chou'zhuang'zhi 为觅封侯酬壮志
'wei'nan'nv 为男女
'wei'nan'nv'zuo'yin 为男女作姻
'wei'nan'wei'nv'shou'chen'lun 为男为女受沉沦
'wei'nian'li'bie'ku 唯念离别苦
'wei'nu'chui'san'yue'bian'yun 为奴吹散月边云
'wei'qiu'nie'pan'cheng'fo'yin 唯求涅槃成佛因
'wei'rong'san'ri'bing'chan'mian 未容三日病缠绵
'wei'sheng'chen'hun'lue'kan'shi 未省晨昏略看侍
'wei'sheng'cong'tian'de'zhi 未省从天得至
'wei'sheng'li'he 未省离合
'wei'shui'yi'tiao'liu 渭水一条流
'wei'ta'nan'nv'shou'bo'zha 为他男女受波吒
'wei'wen'xi'shuai'yin'xiang'ban 唯闻蟋蟀吟相伴
'wei'xu'dong'hai'ping 惟须东海平
'wei'yan'en'ai'yong'tuan'yuan 为言恩爱永团圆
'wei'yi'huan'bu'chu'gui'men 逶迤缓步出闺门
'wei'you'gui'cheng 未有归程
'wei'you'long'shen'zao 唯有龙神澡
'wei'you'tai'xiang'yi 唯有台相倚
'wei'you'tian'ren'ting 唯有天人听
'wei'zhi'liang'jian'shuang'yan 惟指梁间双燕
'wei'zhu'gou 喂猪狗
'wen'dao'jun'wang'zhao'zhi 闻道君王诏旨
'wen'jing'ye'zhong'shui'hun'hun 闻经业重睡昏昏
'wen'long'men'he'ri'kai 问龙门何日开
'wen'ru'shi 问儒士
'wen'shu'fang'zhang'lai'tong'zhu 文殊方丈来同住
'wen'shu'lai'wen'wei'mo'jie 文殊来问维摩诘
'wen'ti'ku 闻啼哭
'wen'yin'yue 闻音乐
'wen'zei'yong'yong'yong 闻贼勇勇勇
'wen'zhe'gu'yi 闻者孤疑
'wo'bu 我不
'wo'ci'yan 我此言
'wo'shi'qu'jiang'lin'chi'liu 我是曲江临池柳
'wo'shi'si'tian'wang 我是四天王
'wu'bai'ge'li'shi'shui'hun'chen 五百个力士睡昏沉
'wu'bu'hui 无不会
'wu'chang'yi'jian'da'jia'zhi 无常一件大家知
'wu'cheng'ba'cang'geng'wu'yi 五乘八藏更无疑
'wu'duan'jia'de'chang'zheng'xu 无端嫁得长征婿
'wu'duan'lao'qu'ling'ren'xiao 无端老去令人笑
'wu'duan'lue'ru'hou'yuan'kan 无端略入后园看
'wu'feng'du'yao'cao 无风独摇草
'wu'geng'fen 五更分
'wu'geng'wei'ba'jin'ji'jiao 五更未罢金鸡叫
'wu'geng'xiao 五更晓
'wu'geng'yan 五更延
'wu'geng'ye'yue'jiao 五更夜月交
'wu'geng'zhuan 五更转
'wu'hu'zhong 五湖中
'wu'ji'hen'zheng'ren 无计恨征人
'wu'juan'yun'shou 雾卷云收
'wu'li'tan'tou'feng'yu'ping 五里滩头风欲平
'wu'li'zhi'tan'xiu'hua'lun 无利之谈休话论
'wu'liang 五梁
'wu'ling'er 五陵儿
'wu'ling'nian'shao'feng'liu'xu 五陵年少风流婿
'wu'ling'yuan'shang'you'xian'e 五陵原上有仙娥
'wu'ming'zhang'bi'zi'huang'mang 无明障蔽自慌忙
'wu'nian'qin'xue'jin'pi'ni 五年勤学尽毗尼
'wu'nu'yi 污奴衣
'wu'ran'zhe 无染着
'wu'ren'gong 无人共
'wu'ren'jie'dao'si'liang'chu 无人解到思量处
'wu'ren'yu 无人语
'wu'ru'liao'hua'cong'li 误入蓼花丛里
'wu'se'xiang'yun 五色祥云
'wu'shi'en'yan'ru'di'gong 五十恩延入帝宫
'wu'shi'pu'sui'bu'wang'en 五师普遂不忘恩
'wu'shi'qiang'mou'ji'shi'cheng 五十强谋几事成
'wu'shi'que'gui'shu'ge'nei 无事却归书阁内
'wu'si'wu'nian'shi'nie'pan 无思无念是涅槃
'wu'wei'fa'hui'ti'jie'wang 无为法会体皆亡
'wu'xin'huan 无心欢
'wu'you'zhong 无有终
'wu'yu'xiao 无语笑
'wu'yue'zhong'xia'xia'sheng're 五月仲夏夏盛热
'wu'yun'xing'qu'zhong'po'huai 五蕴形躯终破坏
'wu'ze'wang'xiang'shi'zhen'ru 悟则妄想是真如
'wu'zheng'zhu 无正主
'wu'zhi'nai 无志耐
'wu'zhu'ci 舞著词
'wu'zuo'wu'qiu'shi'kong'xu 无作无求是空虚
'xi'an'cun 悉安存
'xi'di'shen'xin'jiao'jing'jie 洗涤身心交净洁
'xi'du'hua'yan'xian'da'xian 喜睹华筵献大贤
'xi'guo'shen'seng 西国神僧
'xi'he'zhi'xin'he'ri'man 溪壑之心何日满
'xi'jiang'shui'jie'nan'shan'sui 西江水竭南山碎
'xi'jiang'yue 西江月
'xi'nan'ren 喜难任
'xi'qiu'tian 喜秋天
'xi'qu'xi'qu'mi'cao 喜去喜去觅草
'xi'ren'peng'zu'deng'qi'nian 昔人彭祖等齐年
'xi'ri'xiang'ru'wei'yu'shi 昔日相如未遇时
'xi'ri'zhu'qin'ben'zi'you 昔日诸亲本自有
'xi'shuai'ye'ming'jie'qi'xia 蟋蟀夜鸣阶砌下
'xi'xia'xun'you'xing'guai'chou 习狎薰莸行乖丑
'xi'yi'wang'yuan'zhen'yao'miao 息意忘缘真要妙
'xi'yu'man'tou'hua'man'mian 犀玉满头花满面
'xi'zhang'bo'tian'men 锡杖拨天门
'xi'zhang'duo'tian'guan 锡杖夺天关
'xi'zu'shao'xiang'li'shi'zun 洗足烧香礼世尊
'xia'chuang'kai'yan'shi'qi'man 下床开眼是欺谩
'xia'jing'shen 下精神
'xia'li'wu'ren'jian 匣里无人见
'xia'si'hao 下四皓
'xian'dun'huang'jun'jiang 献敦煌军将
'xian'he'chao'lie'duo'xian'shi 咸贺朝列多贤士
'xian'hua'qian'ban'you 现化千般有
'xian'jing'mei 仙境美
'xian'lai'geng'nian'mi'tuo'fo 闲来更念弥陀佛
'xian'ping'zhe'xiu'chuang 闲凭着绣床
'xian'qiang'yan 献羌言
'xian'shan'ren 嫌善人
'xian'shi'bao'mu'wei'gui 衔食报母未归
'xian'shi'ling'ren'fu'bu'hou 现世令人福不厚
'xian'sui'luo'ri'ying'hun'xiao 咸随落日影魂销
'xian'wang'li'gong'xun 先望立功勋
'xian'xian 献贤
'xian'zhong'xin 献忠心
'xian'zi'you'you'lai 先自有由来
'xiang'an'xun'jing'zhuan'sheng'jiao 香案寻经传圣教
'xiang'bei'zhong'mian'bi'mu'yu 香被重眠比目鱼
'xiang'fang'xiao 相仿效
'xiang'feng'cu'qi'luo 香风簇绮罗
'xiang'feng'shao 香风少
'xiang'fu'lian'chu 想夫怜处
'xiang'guan'tiao'di'qian'shan'ge 乡关迢递千山隔
'xiang'he'hong'yan'yi'dui'dui 香和红艳一堆堆
'xiang'ji'fan 香积饭
'xiang'jun'bo'xing 想君薄行
'xiang'lan'man 香烂熳
'xiang'lang'dao 向郎道
'xiang'li'kan 向里看
'xiang'liao'shi'nan'guo 相料实难过
'xiang'lv'chuang'xia'zuo'wei'you'yi 向绿窗下左偎右倚
'xiang'mao'yi 相貌异
'xiang'ni'wei'jun'tan'ku'zhan 想你为君贪苦战
'xiang'she'man'lou'tai 香麝满楼台
'xiang'si'nan'shan'bu'dong'wei 象似南山不动微
'xiang'song'guo'he'liang 相送过河梁
'xiang'song'ren'jian'ji'qian'du 相送人间几千度
'xiang'tan'wang'zhu'ge'chun 香檀枉注歌唇
'xiang'xiang'gong'chao'tian 相向共朝天
'xiang'xiao'luo'huang'kan'hun'duan 香销罗幌堪魂断
'xiang'yu'qiao'ju'wu'lu 项羽翘据无路
'xiang'yun'jia'xi'yue 祥云驾喜悦
'xiang'zhu'li'shu'xun 向主立殊勋
'xiang'zhu'lian 向珠帘
'xiao'da'an'cun'ru'zi'mu 小大安存如子母
'xiao'fu'ye 晓复夜
'xiao'gu'cai'ming'you'yi'jiu 晓鼓才明又依旧
'xiao'jie'wang'long'ting 效节望龙庭
'xiao'jing'yi'juan'bu'ceng'xun 孝经一卷不曾寻
'xiao'nian'shao'bei 小年少辈
'xiao'nian'shao'bei'feng'en'duo 小年少辈奉恩多
'xiao'xiao'wei'qing'dan'han'ren 小小违情但含忍
'xiao'yu'mo'tian'xiang 小玉莫添香
'xiao'yuan'zou'sheng'ge 小院奏笙歌
'xie'ge'shan 携歌扇
'xie'jian'wan'gong'sha'qi'bian 携剑弯弓沙碛边
'xie'jiu'bu'jin'di 携酒步金堤
'xie'xie'yan'yu'mo'sheng'chen 些些言语莫生嗔
'xin'en'jiang 新恩降
'xin'huan'xi 心欢喜
'xin'jiao'meng'duan'geng'chu 心焦梦断更初
'xin'pi'lian'mao'shui'bu'de 心脾连冒睡不得
'xin'shou'san'wu'ge 心手三五个
'xin'yin'xi 信音稀
'xin'yu'zhi'ren'ruo'dao'lai 信喻之人若到来
'xing'bu'wei'yi 行步逶迤
'xing'dong'yuan'lai'yi'yi'jiu 行动原来一依旧
'xing'ge 行歌
'xing'kan'yan'yu'nian'xin'shi 行看燕语念新诗
'xing'ming'wei'you'qing'ke'jian 性命唯忧顷刻间
'xing'ming'zhi'kong'nan'cun 性命只恐难存
'xing'ren'nan'bei'jin'ge'yao 行人南北尽歌谣
'xing'wu'shang 行无伤
'xing'xiao'shun 行孝顺
'xing'yin'jin'ri 幸因今日
'xing'yu'luan'shi'yu'mi'tuo 幸于乱世遇弥陀
'xing'zhou 行舟
'xing'zhu'zuo'wo'chang'zhu'yi 行住坐卧常注意
'xiong'di'he'ceng'ru'shou'bi 兄弟何曾如手臂
'xiong'di'wang 兄弟亡
'xiong'ming'yuan'jin'wen 雄名远近闻
'xiong'shang'xue 胸上雪
'xiu'ba'tong'xin'qian'bian'nong 羞把同心千遍弄
'xiu'de'jun'shu 修得君书
'xiu'huan'hai 休寰海
'xiu'ji'wei'neng'xiu 休即未能休
'xiu'jian'luan'tai'shuang'wu'feng 羞见鸾台双舞凤
'xiu'jiang'shun'ri'bi'yao'nian 休将舜日比尧年
'xiu'lian'kuang'hua'nian'shao 休恋狂花年少
'xiu'lian'qian 绣帘前
'xiu'mo'zhan'ma'ti 休磨战马蹄
'xiu'pin'zhuan 修品馔
'xiu'qi'zhe'tian'di 秀气遮天地
'xiu'qian'pan'lang'zheng'duan'chang 休遣潘郎争断肠
'xiu'sha'ting'zhong'shu'shu'hua 羞杀庭中数树花
'xiu'shu'chuan'yu'xiao'niang 修书传与萧娘
'xiu'shu'lin'ya'kan'ji'dao 朽树临崖看即倒
'xiu'wen'ba'wu'xi'ti'pian 修文罢武习题篇
'xiu'wen'yan'ge'xi'nong'tian 修文偃格习农田
'xiu'wen'yan'wu 修文偃武
'xiu'xiang'yuan'qin'shui 羞向鸳衾睡
'xiu'ye 休也
'xiu'yun'gou 休运构
'xu'ba'shen'xin'sheng'ji'mo 虚把身心生寂寞
'xu'gai'wang'lai'duan'que'dian 须改往来段却颠
'xu'ge'she 须割舍
'xu'han'chu 虚汗出
'xu'huan'shen 虚幻身
'xu'jiao'she'ji'an 须教社稷安
'xu'mang'qia'si'cai'hua'feng 虚忙恰似采花蜂
'xu'nian'qiao'nong'zhu'shan'sou 须念樵农住山薮
'xu'qi'dao 须祈祷
'xu'qie'ji 须切记
'xu'qing'xi 须庆喜
'xu'rou'hui'zhu'qin 须肉会诸亲
'xu'shi'fen 须识分
'xu'shi'shen'xin'hao 须是身心好
'xu'suo'pi'pa'zhong'li 须索琵琶重理
'xu'yong'yi 须用意
'xu'zhong'geng'xun'xiang 絮重更熏香
'xuan'gai'san 悬盖伞
'xuan'gong'zhao'lu'chi 玄宫照渌池
'xuan'liu'zhen'shang 旋流枕上
'xuan'qiong'zhi'bu'zhi 玄穹知不知
'xuan'rao'bu'li'nan'shan'bu 旋绕不离南赡部
'xuan'tou'la'gu'shi'su'qin 悬头剌股是苏秦
'xue'cheng'bai'ru'yu'er'can 血成白乳与儿餐
'xue'cheng'pen 血成盆
'xue'chi'zhai 学持斋
'xue'ran'luo'shan'zi 血染罗衫子
'xue'san'xiong'qian 雪散胸前
'xue'tang'hua 学唐化
'xue'wen'zhang 学文章
'xun'qiu'chu'shi'fang'ling'dan 寻求处士访灵丹
'xun'si'fu'wang'yi 寻思父王忆
'xun'xi'li'yi'zu 训习礼仪足
'xun'yu'tu 迅玉兔
'ya'niao'si'lai'jie'bao'man 鸦鸟巳来皆饱满
'ya'tan'he'long'ding'qiang'hun 压坛河陇定羌浑
'yan'chai'fei 掩柴扉
'yan'cu'you'xing'nan'bei'lu 延促游行南北路
'yan'fei'nan'qu'yan'li'chao 雁飞南去燕离巢
'yan'fu'ti'zhong'sheng'nan'hua'you 阎浮提众生难化诱
'yan'gu'shi 演故事
'yan'jian'liang'chu'qing'su'dou 厌贱粮储轻粟豆
'yan'mi'sha'zhu'shen'shen 烟迷沙渚沈沈
'yan'mo'wang 阎魔王
'yan'mu'hun 眼目昏
'yan'qian'bian'jian'cheng'ku'cui 眼前便见成枯悴
'yan'rong'er'ba'xiao'niang 颜容二八小娘
'yan'ru'dao'ge 眼如刀割
'yan'wang'wei'ken'shou'fen'shu 阎王未肯受分疏
'yan'xia'guan'xing'yue 岩下观星月
'yan'ying'chuan 眼应穿
'yan'you'ju 言有据
'yan'yu'xing'xing'jing'shen'chu 言语惺惺精神出
'yan'yu'ying'ti'jing'jue'meng 燕语莺啼惊觉梦
'yan'yu'ying'ti'san'yue'ban 燕语莺啼三月半
'yan'zhan'liu'tiao'jin'xian'luan 烟蘸柳条金线乱
'yang'ji'e 养鸡鹅
'yang'wang'chan'se'guang'qi 仰望蟾色光起
'yang'zui'pao'bian'luo 佯醉抛鞭落
'yao'can'wen 要参问
'yao'ci'bei 要慈悲
'yao'jian'heng'gua'ke'chui'mao 腰间恒挂可吹毛
'yao'jun'zhi 要君知
'yao'kan'peng'xia'you'yu'weng 遥看篷下有渔翁
'yao'meng'jue 要猛决
'yao'qu'he'ren'wei'zhang'nan 要去何人为障难
'yao'shun'yu'tang 尧舜禹汤
'yao'si'cun 要思忖
'yao'tiao'wei'yi 窈窕逶迤
'yao'tou'nong'er'bai'jin'pei 摇头弄耳摆金辔
'yao'wang'jia'xiang'chang'duan 遥望家乡长短
'yao'wang'si'yi'tuan'yin 遥望似一团银
'yao'xiu'qie'dai'qing'shan'lan 要休且待青山烂
'yao'yu'pei 摇玉佩
'yao'zhe'yun'lai'jie'de'jiu 要者运来皆得就
'ye'ban'zi 夜半子
'ye'bao'zong'you'xin'suo'zao 业报总由心所造
'ye'bei'xiao'mo'jian'ku'gao 也被消磨见枯槁
'ye'ceng'zao'bi'tou'guang'lu 也曾凿壁偷光露
'ye'fu'xiao 夜复晓
'ye'ji'lan 夜即阑
'ye'jin'men 谒金门
'ye'jing'ling'lai'li'kao'chui 夜静领来力拷捶
'ye'jing'wu'qing'xia'dai'jun 业镜无情下待君
'ye'jiu'geng'lan'feng'jian'jin 夜久更阑风渐紧
'ye'lao'xing'ge 野老行歌
'ye'mo'xian'ta'mo'chao'xiao 也莫嫌他莫嘲笑
'ye'niang'fu'mu'bu'zhi 耶娘父母不知
'ye'niang'gan'chang'cun'cun'duan 耶娘肝肠寸寸断
'ye'niang'xiao'lai'bu'jiao'shou 耶娘小来不教授
'ye'sheng'qian'ru'tie'cheng'zhong 业绳牵入铁城中
'ye'shu'gui 夜属鬼
'ye'shu'xiang'zhu'hang 耶输相逐行
'ye'shu'yi'wo'xiang'men'kan 耶输忆我向门看
'ye'xu'zi'mi'xie'xie'wen 也须自觅些些稳
'ye'yan'zhe'yuan'shu 野烟遮远树
'ye'ye'chang'ran'zhao'fo'deng 夜夜长燃照佛灯
'ye'ye'dao'lai'guo 夜夜道来过
'ye'ye'fei'yang 夜夜飞扬
'ye'ye'ye'ye 也也也也
'ye'ye'zhao'zhao'heng'nian'fo 夜夜朝朝恒念佛
'ye'yu'cheng 夜逾城
'ye'zhang'chi'xin'nan'hua'you 业障痴心难化诱
'ye'zhi'bi'xi'chui'diao'chu 夜至碧溪垂钓处
'ye'zhi'si'li'jiang'yan'kai 也知寺里讲筵开
'ye'zhui'yin'xiao 叶坠银筿
'yi'bao'zhi'shen'mo'kong'qu 一保之身莫空去
'yi'bian'li'xia'shen'gui'pa 一遍离匣神鬼怕
'yi'bu'bu 一步步
'yi'bu'yi 一步一
'yi'cao'ming'hua 异草名花
'yi'chuan'shu'zhu'an'xiu'li 一串数珠安袖里
'yi'cong'zheng'chu'zhen'cuo'tuo 一从征出镇蹉跎
'yi'dan'ping'de'kuang'fu 一旦娉得狂夫
'yi'duo'xiang'shan 一朵香山
'yi'fen'zhi'zhong'ye'jian'shi 一分之中也兼失
'yi'fu'ling'luo'xu'jian'su 衣服绫罗须俭素
'yi'gan'chang'di'zuo'pan'xi 一竿长地坐磻溪
'yi'ge'ni'dang'qian 一个拟当千
'yi'geng'chang 一更长
